Aircraft,In service,Orders
Airbus A319-100,57,—
Airbus A320-200,62,—
Airbus A321-200,38,89
Airbus A321neo,—,100
Airbus A330-200,11,—
Airbus A330-300,31,—
Airbus A330-900neo,—,25
Airbus A350-900,7,18
Boeing 717-200,91,—
Boeing 737-700,10,—
Boeing 737-800,77,—
Boeing 737-900ER,91,39
Boeing 757-200,100,—
Boeing 757-300,16,—
Boeing 767-300,2,—
Boeing 767-300ER,57,—
Boeing 767-300ER,57,—
Boeing 767-400ER,21,—
Boeing 777-200ER,8,—
Boeing 777-200LR,10,—
Bombardier CS100,—,75
McDonnell Douglas MD-88,108,-
McDonnell Douglas MD-90-30,58,-
