iata,name,city,state,country,elevation,lat,lon,tz
ICY,Icy Bay Airport,Icy Bay,Alaska,US,50,59.96900177,-141.6620026,America/Anchorage
HGZ,Hog River Airport,Hogatza,Alaska,US,534,66.2161026,-155.6690063,America/Anchorage
BYW,Blakely Island Airport,Blakely Island,Washington,US,66,48.57899857,-122.8259964,America/Los_Angeles
BDF,Rinkenberger Restricted Landing Area,Bradford,Illinois,US,808,41.23089981,-89.61569977,America/Chicago
BCS,Southern Seaplane Airport,Belle Chasse,Louisiana,US,0,29.86610031,-90.02220154,America/Chicago
BWL,Earl Henry Airport,Blackwell,Oklahoma,US,1054,36.79589844,-97.31700134,America/Chicago
DUF,Pine Island Airport,Corolla,North-Carolina,US,16,36.25350189,-75.78849792,America/New_York
FOB,Fort Bragg Airport,Fort Bragg,California,US,71,39.47430038,-123.7959976,America/Los_Angeles
ALX,Thomas C Russell Field,Alexander City,Alabama,US,686,32.91469955,-85.96299744,America/Chicago
AFT,Afutara Aerodrome,Bila,Malaita,SB,23,-9.191388889,160.9486111,Pacific/Guadalcanal
RNA,Ulawa Airport,Arona,,SB,40,-9.860543583,161.9795465,Pacific/Guadalcanal
ATD,Uru Harbour Airport,Atoifi,,SB,0,-8.873330116,161.0110016,Pacific/Guadalcanal
VEV,Barakoma Airport,Barakoma,,SB,0,-7.912779808,156.7059937,Pacific/Guadalcanal
BPF,Batuna Aerodrome,Batuna Mission Station,Western-Province,SB,24,-8.562027778,158.1193056,Pacific/Guadalcanal
GEF,Geva Airport,Liangia,,SB,0,-7.575829983,156.5970001,Pacific/Guadalcanal
AKS,Auki Airport,Auki,,SB,5,-8.702569962,160.6820068,Pacific/Guadalcanal
BNY,Bellona/Anua Airport,Anua,,SB,60,-11.30222222,159.7983333,Pacific/Guadalcanal
CHY,Choiseul Bay Airport,,Choiseul,SB,0,-6.711944,156.396111,Pacific/Guadalcanal
BAS,Ballalae Airport,Ballalae,,SB,5,-6.990745,155.886656,Pacific/Guadalcanal
FRE,Fera/Maringe Airport,Fera Island,Isabel,SB,0,-8.107500076,159.5769958,Pacific/Guadalcanal
HIR,Honiara International Airport,Honiara,Guadalcanal,SB,28,-9.42800045,160.0549927,Pacific/Guadalcanal
MBU,Babanakira Airport,Mbambanakira,Guadalcanal,SB,0,-9.74750042,159.8390045,Pacific/Guadalcanal
AVU,Avu Avu Airport,,Guadalcanal,SB,25,-9.868333333,160.4105556,Pacific/Guadalcanal
IRA,Ngorangora Airport,Kirakira,,SB,0,-10.44970036,161.897995,Pacific/Guadalcanal
SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,Temotu,SB,18,-10.72029972,165.7949982,Pacific/Guadalcanal
MUA,Munda Airport,,,SB,10,-8.327969551,157.2630005,Pacific/Guadalcanal
GZO,Nusatupe Airport,Gizo,,SB,13,-8.097780228,156.8639984,Pacific/Guadalcanal
MNY,Mono Airport,Stirling Island,,SB,0,-7.416940212,155.5650024,Pacific/Guadalcanal
PRS,Parasi Airport,Parasi,,SB,0,-9.641670227,161.4250031,Pacific/Guadalcanal
RNL,Rennell/Tingoa Airport,Rennell Island,Rennell-and-Bellona,SB,0,-11.53390026,160.0630035,Pacific/Guadalcanal
EGM,Sege Airport,Sege,,SB,0,-8.578889847,157.8760071,Pacific/Guadalcanal
NNB,Santa Ana Airport,Santa Ana Island,,SB,3,-10.847994,162.454108,Pacific/Guadalcanal
RUS,Marau Airport,Marau,,SB,0,-9.86166954,160.8249969,Pacific/Guadalcanal
VAO,Suavanao Airport,Suavanao,,SB,0,-7.585559845,158.7310028,Pacific/Guadalcanal
XYA,Yandina Airport,Yandina,,SB,60,-9.092816,159.21841,Pacific/Guadalcanal
KGE,Kagau Island Airport,Kagau Island,,SB,0,-7.333000183,157.5829926,Pacific/Guadalcanal
KWS,Kwailabesi Airport,Kwailabesi,,SB,26,-8.360508,160.775127,Pacific/Guadalcanal
GTA,Gatokae Airport,Gatokae,,SB,70,-8.739167,158.203056,Pacific/Guadalcanal
RIN,Ringi Cove Airport,Ringi Cove,,SB,0,-8.126390457,157.1430054,Pacific/Guadalcanal
RBV,Ramata Airport,Ramata,,SB,0,-8.168060303,157.6430054,Pacific/Guadalcanal
CEX,Chena Hot Springs Airport,Chena Hot Springs,Alaska,US,1195,65.05180359,-146.0469971,America/Anchorage
HED,Herendeen Bay Airport,Herendeen Bay,Alaska,US,20,55.80139923,-160.8990021,America/Anchorage
TWE,Taylor Airport,Taylor,Alaska,US,440,65.6792984,-164.798996,America/Nome
CDL,Candle 2 Airport,Candle,Alaska,US,15,65.90769959,-161.9259949,America/Anchorage
BSZ,Bartletts Airport,Egegik,Alaska,US,50,58.21620178,-157.352005,America/Anchorage
BSW,Boswell Bay Airport,Boswell Bay,Alaska,US,230,60.42309952,-146.1459961,America/Anchorage
INU,Nauru International Airport,Yaren District,Yaren,NR,22,-0.547458,166.919006,Pacific/Nauru
ATP,Aitape Airport,Aitape,Sandaun,PG,10,-3.143611111,142.3468056,Pacific/Port_Moresby
AMU,Amanab Airport,Amanab,Sandaun,PG,1307,-3.586,141.2143333,Pacific/Port_Moresby
ADC,Andakombe Airport,Andekombe,Gulf,PG,3600,-7.137222222,145.7447222,Pacific/Port_Moresby
AIE,Aiome Airport,Aiome,Madang,PG,350,-5.145699978,144.7307003,Pacific/Port_Moresby
KPM,Kompiam Airport,,Enga,PG,5100,-5.381666667,143.9247222,Pacific/Port_Moresby
AUJ,Ambunti Airport,Ambunti,East-Sepik,PG,50,-4.215666667,142.8231667,Pacific/Port_Moresby
AWB,Awaba Airport,Awaba,Western-Province,PG,32,-8.006110191,142.7483521,Pacific/Port_Moresby
AYU,Aiyura Airport,Aiyura Valley,Eastern-Highlands,PG,5355,-6.338055556,145.9041667,Pacific/Port_Moresby
VMU,Baimuru Airport,Baimuru,Gulf,PG,27,-7.496860027,144.8199005,Pacific/Port_Moresby
BDZ,Baindoung Airport,,Morobe,PG,4400,-6.347222222,146.9422222,Pacific/Port_Moresby
BUA,Buka Airport,Buka Island,Bougainville,PG,11,-5.422319889,154.6730042,Pacific/Port_Moresby
OPU,Balimo Airport,Balimo,Western-Province,PG,51,-8.050000191,142.9329987,Pacific/Port_Moresby
BUL,Bulolo Airport,Bulolo,Morobe,PG,2240,-7.216286671,146.6495419,Pacific/Port_Moresby
CMU,Chimbu Airport,Kundiawa,Chimbu,PG,4974,-6.024290085,144.970993,Pacific/Port_Moresby
DER,Derim Airport,Derim,Morobe,PG,4850,-6.144722222,147.1072222,Pacific/Port_Moresby
DAU,Daru Airport,Daru,Western-Province,PG,20,-9.086759567,143.2079926,Pacific/Port_Moresby
XYR,Edwaki Airport,Yellow River Mission,Sandaun,PG,190,-3.883986,141.792234,Pacific/Port_Moresby
FNE,Fane Airport,Fane Mission,Central-Province,PG,4500,-8.549277778,147.0858333,Pacific/Port_Moresby
