iata,lat,lon
ICY,59.96900177,-141.6620026
HGZ,66.2161026,-155.6690063
BYW,48.57899857,-122.8259964
BDF,41.23089981,-89.61569977
BCS,29.86610031,-90.02220154
BWL,36.79589844,-97.31700134
DUF,36.25350189,-75.78849792
FOB,39.47430038,-123.7959976
ALX,32.91469955,-85.96299744
AFT,-9.191388889,160.9486111
RNA,-9.860543583,161.9795465
ATD,-8.873330116,161.0110016
VEV,-7.912779808,156.7059937
BPF,-8.562027778,158.1193056
GEF,-7.575829983,156.5970001
AKS,-8.702569962,160.6820068
BNY,-11.30222222,159.7983333
CHY,-6.711944,156.396111
BAS,-6.990745,155.886656
FRE,-8.107500076,159.5769958
HIR,-9.42800045,160.0549927
MBU,-9.74750042,159.8390045
AVU,-9.868333333,160.4105556
IRA,-10.44970036,161.897995
SCZ,-10.72029972,165.7949982
MUA,-8.327969551,157.2630005
GZO,-8.097780228,156.8639984
MNY,-7.416940212,155.5650024
PRS,-9.641670227,161.4250031
RNL,-11.53390026,160.0630035
EGM,-8.578889847,157.8760071
NNB,-10.847994,162.454108
RUS,-9.86166954,160.8249969
VAO,-7.585559845,158.7310028
XYA,-9.092816,159.21841
KGE,-7.333000183,157.5829926
KWS,-8.360508,160.775127
GTA,-8.739167,158.203056
RIN,-8.126390457,157.1430054
RBV,-8.168060303,157.6430054
CEX,65.05180359,-146.0469971
HED,55.80139923,-160.8990021
TWE,65.6792984,-164.798996
CDL,65.90769959,-161.9259949
BSZ,58.21620178,-157.352005
BSW,60.42309952,-146.1459961
INU,-0.547458,166.919006
ATP,-3.143611111,142.3468056
AMU,-3.586,141.2143333
ADC,-7.137222222,145.7447222
AIE,-5.145699978,144.7307003
KPM,-5.381666667,143.9247222
AUJ,-4.215666667,142.8231667
AWB,-8.006110191,142.7483521
AYU,-6.338055556,145.9041667
VMU,-7.496860027,144.8199005
BDZ,-6.347222222,146.9422222
BUA,-5.422319889,154.6730042
OPU,-8.050000191,142.9329987
BUL,-7.216286671,146.6495419
CMU,-6.024290085,144.970993
DER,-6.144722222,147.1072222
DAU,-9.086759567,143.2079926
XYR,-3.883986,141.792234
FNE,-8.549277778,147.0858333
FIN,-6.621750109,147.85405
FAQ,-4.610468,141.960138
GKA,-6.081689835,145.3919983
GRL,-7.980713,147.213461
GAR,-7.875625028,147.1412659
GUR,-10.3114996,150.3339996
GAP,-6.053196,145.959047
PNP,-8.804539681,148.3090057
GMI,-6.271110058,150.3309937
GVI,-3.902242899,141.170517
HKN,-5.462170124,150.4049988
LSA,-8.505820274,151.0809937
KBM,-6.155472222,147.1914722
KDR,-6.2659,149.5581
UNG,-6.125710011,141.2819977
KRI,-7.424379826,144.2500763
