web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519894788-6917","https://www.planespotters.net/airline/Air-China?p=2","B-1877","Airbus A321-232(WL)","C16Y161","25. Sep 2014","null","3.5 Years"
"1519894791-6940","https://www.planespotters.net/airline/Air-China?p=1","B-6034","Airbus A319-115","C8Y120","28. Jul 2004","null","13.8 Years"
"1519894783-6806","https://www.planespotters.net/airline/Air-China?p=4","B-5948","Airbus A330-343","C30W16Y255","29. Jul 2014","null","3.8 Years"
"1519894783-6800","https://www.planespotters.net/airline/Air-China?p=4","B-5912","Airbus A330-343","C30W16Y255","14. Feb 2014","null","4.1 Years"
"1519894776-6643","https://www.planespotters.net/airline/Air-China?p=7","B-5679","Boeing 737-89L(WL)","C8Y159","25. Jul 2012","null","5.6 Years"
"1519894779-6691","https://www.planespotters.net/airline/Air-China?p=6","B-2657","Boeing 737-89L","C8Y159","31. Oct 2002","null","15.4 Years"
"1519894779-6676","https://www.planespotters.net/airline/Air-China?p=6","B-1947","Boeing 737-89L(WL)","C12Y147","20. Jan 2014","null","4.2 Years"
"1519894774-6597","https://www.planespotters.net/airline/Air-China?p=8","B-2043","Boeing 777-39L(ER)","F8C42Y261","04. Sep 2013","null","4.6 Years"
"1519894786-6856","https://www.planespotters.net/airline/Air-China?p=3","B-6942","Airbus A321-232","C12Y173","21. Dec 2012","null","5.2 Years"
"1519894788-6921","https://www.planespotters.net/airline/Air-China?p=2","B-6327","Airbus A321-213","F12Y173","14. Dec 2007","null","10.3 Years"
"1519894788-6924","https://www.planespotters.net/airline/Air-China?p=2","B-6363","Airbus A321-213","F12Y173","26. Sep 2008","null","9.5 Years"
"1519894776-6624","https://www.planespotters.net/airline/Air-China?p=7","B-5486","Boeing 737-89L(WL)","C8Y159","20. Dec 2009","null","8.2 Years"
"1519894774-6619","https://www.planespotters.net/airline/Air-China?p=8","B-7877","Boeing 787-9 Dreamliner","C30W34Y229","18. May 2016","null","1.9 Years"
"1519894788-6912","https://www.planespotters.net/airline/Air-China?p=2","B-1639","Airbus A321-213(WL)","C16Y161","21. Apr 2015","null","2.9 Years"
"1519894779-6696","https://www.planespotters.net/airline/Air-China?p=6","B-5175","Boeing 737-86N","C8Y159","13. Oct 2006","null","11.4 Years"
"1519894783-6792","https://www.planespotters.net/airline/Air-China?p=4","B-6505","Airbus A330-243","C30Y207","15. Oct 2008","null","9.5 Years"
"1519894783-6818","https://www.planespotters.net/airline/Air-China?p=4","B-6523","Airbus A330-343","C30W16Y255","26. Jan 2011","null","7.2 Years"
"1519894786-6845","https://www.planespotters.net/airline/Air-China?p=3","B-6741","Airbus A321-232","C12Y173","08. Mar 2011","null","7.0 Years"
"1519894791-6963","https://www.planespotters.net/airline/Air-China?p=1","B-1686","Airbus A320-214(WL)","C8Y150","20. May 2015","null","2.9 Years"
"1519894776-6660","https://www.planespotters.net/airline/Air-China?p=7","B-7595","Boeing 737-89L(WL)","C8Y168","13. Jun 2016","null","1.7 Years"
"1519894781-6753","https://www.planespotters.net/airline/Air-China?p=5","B-5803","Boeing 737-79L(WL)","C8Y120","23. Oct 2013","null","4.4 Years"
"1519894786-6861","https://www.planespotters.net/airline/Air-China?p=3","B-8502","Airbus A321-232(WL)","C16Y161","21. Dec 2016","null","1.2 Years"
"1519894788-6879","https://www.planespotters.net/airline/Air-China?p=2","B-6773","Airbus A320-232","C8Y150","26. Jul 2011","null","6.7 Years"
"1519894783-6783","https://www.planespotters.net/airline/Air-China?p=4","B-6091","Airbus A330-243","C30Y207","22. Oct 2007","null","10.4 Years"
"1519894776-6663","https://www.planespotters.net/airline/Air-China?p=7","B-7890","Boeing 737-89L(WL)","C8Y168","22. Sep 2016","null","1.5 Years"
"1519894791-6956","https://www.planespotters.net/airline/Air-China?p=1","B-6235","Airbus A319-131","C8Y120","12. Jul 2007","null","10.7 Years"
"1519894779-6698","https://www.planespotters.net/airline/Air-China?p=6","B-5177","Boeing 737-86N","C8Y159","11. Dec 2006","null","11.3 Years"
"1519894774-6599","https://www.planespotters.net/airline/Air-China?p=8","B-2046","Boeing 777-39L(ER)","F8C42Y261","14. Jan 2014","null","4.2 Years"
"1519894783-6796","https://www.planespotters.net/airline/Air-China?p=4","B-6541","Airbus A330-243","C18Y247","24. Apr 2012","null","5.9 Years"
"1519894791-6964","https://www.planespotters.net/airline/Air-China?p=1","B-1687","Airbus A320-214(WL)","C8Y150","13. Nov 2015","null","2.3 Years"
"1519894781-6734","https://www.planespotters.net/airline/Air-China?p=5","B-1399","Boeing 737-8 MAX","C8Y168","30. Dec 2017","null","0.2 Years"
"1519894788-6908","https://www.planespotters.net/airline/Air-China?p=2","B-8891","Airbus A320-271N","","17. Nov 2017","null","0.3 Years"
"1519894774-6602","https://www.planespotters.net/airline/Air-China?p=8","B-2086","Boeing 777-39L(ER)","F8C42Y261","13. Oct 2011","null","6.4 Years"
"1519894788-6880","https://www.planespotters.net/airline/Air-China?p=2","B-6793","Airbus A320-214","C8Y150","28. Sep 2011","null","6.5 Years"
"1519894791-6943","https://www.planespotters.net/airline/Air-China?p=1","B-6037","Airbus A319-115","C8Y120","21. Sep 2004","null","13.5 Years"
"1519894783-6789","https://www.planespotters.net/airline/Air-China?p=4","B-6130","Airbus A330-243","C30Y207","23. Jun 2008","null","9.7 Years"
"1519894788-6905","https://www.planespotters.net/airline/Air-China?p=2","B-9926","Airbus A320-214","C8Y150","23. Dec 2013","null","4.2 Years"
"1519894791-6955","https://www.planespotters.net/airline/Air-China?p=1","B-6228","Airbus A319-115","C8Y120","25. Sep 2006","null","11.5 Years"
"1519894791-6976","https://www.planespotters.net/airline/Air-China?p=1","B-6677","Airbus A320-232","C8Y150","30. Jun 2010","null","7.7 Years"
"1519894776-6651","https://www.planespotters.net/airline/Air-China?p=7","B-5851","Boeing 737-89L(WL)","C12Y147","16. Dec 2013","null","4.2 Years"
"1519894791-6978","https://www.planespotters.net/airline/Air-China?p=1","B-6733","Airbus A320-232","C8Y150","26. Apr 2011","null","6.9 Years"
"1519894791-6966","https://www.planespotters.net/airline/Air-China?p=1","B-1853","Airbus A320-214(WL)","C8Y150","19. Sep 2014","null","3.5 Years"
"1519894776-6658","https://www.planespotters.net/airline/Air-China?p=7","B-7181","Boeing 737-89L(WL)","C8Y168","30. Mar 2016","null","2.0 Years"
"1519894781-6745","https://www.planespotters.net/airline/Air-China?p=5","B-5213","Boeing 737-79L(WL)","C8Y120","16. Aug 2005","null","12.6 Years"
"1519894781-6768","https://www.planespotters.net/airline/Air-China?p=5","B-1763","Boeing 737-89L(WL)","C12Y147","24. Apr 2015","null","2.9 Years"
"1519894786-6852","https://www.planespotters.net/airline/Air-China?p=3","B-6883","Airbus A321-232","C12Y173","27. Apr 2012","null","5.9 Years"
"1519894786-6842","https://www.planespotters.net/airline/Air-China?p=3","B-6701","Airbus A321-213","C12Y173","19. Oct 2010","null","7.4 Years"
"1519894774-6622","https://www.planespotters.net/airline/Air-China?p=8","B-7898","Boeing 787-9 Dreamliner","C30W34Y229","14. Sep 2016","null","1.5 Years"
"1519894783-6821","https://www.planespotters.net/airline/Air-China?p=4","B-8383","Airbus A330-343","C30W16Y255","31. Jul 2017","null","0.7 Years"
"1519894791-6959","https://www.planespotters.net/airline/Air-China?p=1","B-6238","Airbus A319-115","C8Y120","13. Sep 2007","null","10.5 Years"
"1519894776-6625","https://www.planespotters.net/airline/Air-China?p=7","B-5495","Boeing 737-89L(WL)","C8Y159","19. Jan 2010","null","8.2 Years"
"1519894776-6650","https://www.planespotters.net/airline/Air-China?p=7","B-5849","Boeing 737-89L(WL)","C12Y147","16. Oct 2013","null","4.4 Years"
"1519894774-6589","https://www.planespotters.net/airline/Air-China?p=8","B-2032","Boeing 777-39L(ER)","F8C42Y261","30. Jul 2012","null","5.6 Years"
"1519894779-6677","https://www.planespotters.net/airline/Air-China?p=6","B-1956","Boeing 737-89L(WL)","C12Y147","11. Apr 2014","null","3.9 Years"
"1519894783-6814","https://www.planespotters.net/airline/Air-China?p=4","B-6503","Airbus A330-343","C30W16Y255","10. Aug 2012","null","5.6 Years"
"1519894788-6889","https://www.planespotters.net/airline/Air-China?p=2","B-6918","Airbus A320-232","C8Y150","25. Sep 2012","null","5.5 Years"
"1519894781-6759","https://www.planespotters.net/airline/Air-China?p=5","B-1527","Boeing 737-89L(WL)","C12Y147","03. Aug 2015","null","2.6 Years"
"1519894788-6916","https://www.planespotters.net/airline/Air-China?p=2","B-1876","Airbus A321-213(WL)","C16Y161","27. Oct 2014","null","3.4 Years"
"1519894779-6718","https://www.planespotters.net/airline/Air-China?p=6","B-5423","Boeing 737-89L(WL)","C8Y159","22. Apr 2009","null","8.9 Years"
"1519894776-6673","https://www.planespotters.net/airline/Air-China?p=7","B-2480","Boeing 747-89L","F12C54W66Y233","16. Jun 2015","null","2.8 Years"
"1519894779-6687","https://www.planespotters.net/airline/Air-China?p=6","B-2642","Boeing 737-89L","C8Y159","07. Sep 1999","null","18.5 Years"
"1519894783-6826","https://www.planespotters.net/airline/Air-China?p=4","B-8689","Airbus A330-343","C30W16Y255","28. Apr 2017","null","0.9 Years"
"1519894779-6702","https://www.planespotters.net/airline/Air-China?p=6","B-5312","Boeing 737-8Q8","C8Y159","09. Mar 2007","null","11.0 Years"
"1519894791-6931","https://www.planespotters.net/airline/Air-China?p=1","B-2404","Airbus A319-131","C8Y120","22. Apr 2005","null","12.9 Years"
"1519894781-6757","https://www.planespotters.net/airline/Air-China?p=5","B-1419","Boeing 737-89L(WL)","C8Y168","22. Jun 2017","null","0.7 Years"
"1519894783-6786","https://www.planespotters.net/airline/Air-China?p=4","B-6113","Airbus A330-243","C30Y207","11. Jan 2008","null","10.3 Years"
"1519894783-6803","https://www.planespotters.net/airline/Air-China?p=4","B-5919","Airbus A330-343","C30W16Y255","17. May 2013","null","4.9 Years"
"1519894788-6897","https://www.planespotters.net/airline/Air-China?p=2","B-8493","Airbus A320-232(WL)","C8Y150","21. Oct 2016","null","1.4 Years"
"1519894791-6953","https://www.planespotters.net/airline/Air-China?p=1","B-6226","Airbus A319-115","C8Y120","20. Jul 2006","null","11.6 Years"
"1519894788-6902","https://www.planespotters.net/airline/Air-China?p=2","B-9922","Airbus A320-232","C8Y150","02. Aug 2013","null","4.6 Years"
"1519894774-6585","https://www.planespotters.net/airline/Air-China?p=8","B-1429","Boeing 777-39L(ER)","C36Y356","28. Jul 2017","null","0.6 Years"
"1519894783-6823","https://www.planespotters.net/airline/Air-China?p=4","B-8386","Airbus A330-343","C30W16Y255","22. Sep 2017","null","0.6 Years"
"1519894776-6628","https://www.planespotters.net/airline/Air-China?p=7","B-5500","Boeing 737-89L(WL)","C8Y159","26. Feb 2010","null","8.1 Years"
"1519894783-6817","https://www.planespotters.net/airline/Air-China?p=4","B-6513","Airbus A330-343","C30W16Y255","22. Jun 2010","null","7.8 Years"
"1519894786-6830","https://www.planespotters.net/airline/Air-China?p=3","B-6593","Airbus A321-213","F12Y173","20. Jul 2009","null","8.7 Years"
"1519894781-6739","https://www.planespotters.net/airline/Air-China?p=5","B-5043","Boeing 737-79L","C8Y120","17. Jun 2003","null","14.8 Years"
