web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519894909-7139","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA617A","Boeing 767-381(ER)","C35Y179","29. Aug 2008","null","9.5 Years"
"1519894907-7068","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA703A","Boeing 777-281","C21Y384","21. Aug 1997","null","20.7 Years"
"1519894907-7089","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA732A","Boeing 777-381(ER)","F8C52W24Y166","25. Apr 2005","null","12.9 Years"
"1519894909-7155","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA8362","Boeing 767-381(ER)(BCF)","Cargo","07. Jul 2008
(26. Oct 1989)","null","28.4 Years"
"1519894911-7201","https://www.planespotters.net/airline/All-Nippon-Airways?p=1","JA67AN","Boeing 737-881(WL)","C8Y158","21. Jun 2011","null","6.7 Years"
"1519894907-7064","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA8677","Boeing 767-381","C10Y260","24. Aug 1994","null","23.6 Years"
"1519894907-7062","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA8670","Boeing 767-381","C10Y260","09. May 1994","null","23.9 Years"
"1519894907-7096","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA753A","Boeing 777-381","C21Y493","29. Jul 1998","null","19.6 Years"
"1519894907-7104","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA780A","Boeing 777-381(ER)","F8C52W24Y180","31. May 2007","null","10.8 Years"
"1519894911-7191","https://www.planespotters.net/airline/All-Nippon-Airways?p=1","JA57AN","Boeing 737-881(WL)","C8Y159","14. Sep 2009","null","8.6 Years"
"1519894907-7072","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA707A","Boeing 777-281(ER)","C21Y384","06. Oct 1999","null","18.5 Years"
"1519894904-7038","https://www.planespotters.net/airline/All-Nippon-Airways?p=4","JA821A","Boeing 787-8 Dreamliner","C12Y323","23. Sep 2013","null","4.5 Years"
"1519894907-7097","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA754A","Boeing 777-381","C21Y493","20. Oct 1998","null","19.4 Years"
"1519894907-7071","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA706A","Boeing 777-281","C21Y384","20. May 1998","null","19.8 Years"
"1519894904-7043","https://www.planespotters.net/airline/All-Nippon-Airways?p=4","JA827A","Boeing 787-8 Dreamliner","C46W21Y102","05. Feb 2014","null","4.1 Years"
"1519894909-7140","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA618A","Boeing 767-381(ER)","C35Y179","07. Apr 2009","null","8.9 Years"
"1519894907-7073","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA708A","Boeing 777-281(ER)","C21Y384","10. May 2000","null","17.9 Years"
"1519894911-7204","https://www.planespotters.net/airline/All-Nippon-Airways?p=1","JA70AN","Boeing 737-881(WL)","C8Y158","18. Dec 2012","null","5.2 Years"
"1519894901-6999","https://www.planespotters.net/airline/All-Nippon-Airways?p=5","JA890A","Boeing 787-9 Dreamliner","C40W14Y192","08. Dec 2016","null","1.3 Years"
"1519894911-7193","https://www.planespotters.net/airline/All-Nippon-Airways?p=1","JA59AN","Boeing 737-881(WL)","C8Y158","11. Dec 2009","null","8.4 Years"
"1519894911-7189","https://www.planespotters.net/airline/All-Nippon-Airways?p=1","JA55AN","Boeing 737-881(WL)","C8Y158","20. May 2009","null","8.9 Years"
"1519894909-7112","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA78AN","Boeing 737-881(WL)","C8Y158","06. Aug 2014","null","3.6 Years"
"1519894904-7042","https://www.planespotters.net/airline/All-Nippon-Airways?p=4","JA825A","Boeing 787-8 Dreamliner","C12Y323","06. Feb 2014","null","4.1 Years"
"1519894907-7103","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA779A","Boeing 777-381(ER)","F8C52W24Y180","26. Apr 2007","null","10.9 Years"
"1519894901-7001","https://www.planespotters.net/airline/All-Nippon-Airways?p=5","JA892A","Boeing 787-9 Dreamliner","C48W21Y146","12. Jun 2017","null","0.7 Years"
"1519894901-6986","https://www.planespotters.net/airline/All-Nippon-Airways?p=5","JA873A","Boeing 787-9 Dreamliner","C48W21Y146","29. Sep 2015","null","2.5 Years"
"1519894909-7149","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA627A","Boeing 767-381(ER)(WL)","C35Y167","22. Mar 2012","null","6.0 Years"
"1519894907-7102","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA778A","Boeing 777-381(ER)","F8C52W24Y180","24. Jan 2007","null","11.1 Years"
"1519894909-7116","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA82AN","Boeing 737-881(WL)","C8Y158","25. Nov 2015","null","2.3 Years"
"1519894901-7003","https://www.planespotters.net/airline/All-Nippon-Airways?p=5","JA894A","Boeing 787-9 Dreamliner","C40W14Y192","20. Sep 2017","null","0.5 Years"
"1519894909-7117","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA83AN","Boeing 737-881(WL)","C8Y158","21. Dec 2015","null","2.2 Years"
"1519894909-7142","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA620A","Boeing 767-381(ER)(WL)","C35Y167","10. Nov 2010","null","7.3 Years"
"1519894911-7187","https://www.planespotters.net/airline/All-Nippon-Airways?p=1","JA53AN","Boeing 737-881(WL)","C8Y159","15. Dec 2008","null","9.4 Years"
"1519894904-7031","https://www.planespotters.net/airline/All-Nippon-Airways?p=4","JA814A","Boeing 787-8 Dreamliner","C46W21Y102","23. Sep 2012","null","5.5 Years"
"1519894904-7029","https://www.planespotters.net/airline/All-Nippon-Airways?p=4","JA812A","Boeing 787-8 Dreamliner","C12Y323","30. Jun 2012","null","5.7 Years"
"1519894911-7175","https://www.planespotters.net/airline/All-Nippon-Airways?p=1","JA133A","Airbus A321-272N","C8Y186","(On Order)","null",""
"1519894909-7110","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA76AN","Boeing 737-881(WL)","C8Y158","21. May 2014","null","3.8 Years"
"1519894909-7132","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA610A","Boeing 767-381(ER)","C35Y179","18. Dec 2002","null","15.2 Years"
"1519894907-7063","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA8674","Boeing 767-381","C10Y260","15. Jun 1994","null","23.8 Years"
"1519894901-6991","https://www.planespotters.net/airline/All-Nippon-Airways?p=5","JA880A","Boeing 787-9 Dreamliner","C48W21Y146","26. Jul 2016","null","1.7 Years"
"1519894911-7158","https://www.planespotters.net/airline/All-Nippon-Airways?p=1","JA8400","Airbus A320-211","Y166","08. Nov 1995","null","22.5 Years"
"1519894904-7011","https://www.planespotters.net/airline/All-Nippon-Airways?p=4","JA787A","Boeing 777-381(ER)","F8C68W24Y112","10. Jun 2010","null","7.7 Years"
