web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519892470-2008","https://www.planespotters.net/airline/American-Airlines?p=5","N983AN","Boeing 737-823(WL)","C16W48Y90","19. May 2009","3DS","8.8 Years"
"1519892470-1987","https://www.planespotters.net/airline/American-Airlines?p=5","N961AN","Boeing 737-823(WL)","C16W48Y90","25. Apr 2001","3CS","16.9 Years"
"1519892448-1420","https://www.planespotters.net/airline/American-Airlines?p=16","N821AW","Airbus A319-132","C8W18Y102","09. Dec 2013","821","17.2 Years"
"1519892458-1694","https://www.planespotters.net/airline/American-Airlines?p=11","N552UW","Airbus A321-231","C16Y171","09. Dec 2013","552","6.2 Years"
"1519892478-2218","https://www.planespotters.net/airline/American-Airlines?p=1","N105UW","Airbus A320-214","C12Y138","09. Dec 2013","105","18.8 Years"
"1519892466-1901","https://www.planespotters.net/airline/American-Airlines?p=7","N893NN","Boeing 737-823(WL)","C16W48Y90","05. Jun 2012","3JC","5.8 Years"
"1519892466-1884","https://www.planespotters.net/airline/American-Airlines?p=7","N875NN","Boeing 737-823(WL)","C16W48Y90","29. Sep 2011","3HH","6.5 Years"
"1519892456-1646","https://www.planespotters.net/airline/American-Airlines?p=12","N604AW","Airbus A320-232","C12Y138","09. Dec 2013","604","18.0 Years"
"1519892476-2161","https://www.planespotters.net/airline/American-Airlines?p=2","N183UW","Airbus A321-211","C16Y171","09. Dec 2013","183","16.7 Years"
"1519892440-1335","https://www.planespotters.net/airline/American-Airlines?p=18","N915US","Airbus A321-231","C16Y171","10. Dec 2014","915","3.2 Years"
"1519892456-1629","https://www.planespotters.net/airline/American-Airlines?p=12","N189AN","Boeing 757-223(WL)","C16W52Y108","02. Jul 2001","5EX","16.7 Years"
"1519892478-2193","https://www.planespotters.net/airline/American-Airlines?p=1","N9011P","Airbus A319-115(WL)","C8W18Y102","28. Oct 2013","011","4.4 Years"
"1519892456-1670","https://www.planespotters.net/airline/American-Airlines?p=12","N680AW","Airbus A320-232","C12Y138","09. Dec 2013","680","12.3 Years"
"1519892454-1581","https://www.planespotters.net/airline/American-Airlines?p=13","N714US","Airbus A319-112","C8W18Y102","09. Dec 2013","714","18.7 Years"
"1519892460-1749","https://www.planespotters.net/airline/American-Airlines?p=10","N961TW","McDonnell Douglas MD-83 (DC-9-83)","C16Y124","02. Dec 2001","4XT","18.9 Years"
"1519892446-1378","https://www.planespotters.net/airline/American-Airlines?p=17","N158AN","Airbus A321-231(WL)","C16W33Y132","31. Mar 2016","890","1.9 Years"
"1519892460-1724","https://www.planespotters.net/airline/American-Airlines?p=10","N306RC","Boeing 737-8 MAX","C16W30Y126","04. Dec 2017","3RC","0.3 Years"
"1519892440-1336","https://www.planespotters.net/airline/American-Airlines?p=18","N916US","Airbus A321-231","C16Y171","15. Jan 2015","916","3.2 Years"
"1519892462-1794","https://www.planespotters.net/airline/American-Airlines?p=9","N994NN","Boeing 737-823(WL)","C16W30Y114","14. Jul 2016","3NP","1.7 Years"
"1519892464-1843","https://www.planespotters.net/airline/American-Airlines?p=8","N939NN","Boeing 737-823(WL)","C16W48Y90","10. Dec 2013","3LC","4.5 Years"
