web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519893821-4765","https://www.planespotters.net/airline/British-Airways?p=1","G-EUOI","Airbus A319-131","CY132","13. Nov 2001","null","16.4 Years"
"1519893814-4634","https://www.planespotters.net/airline/British-Airways?p=4","G-YMMH","Boeing 777-236(ER)","F13C48W32Y127","14. Oct 2000","null","17.4 Years"
"1519893821-4767","https://www.planespotters.net/airline/British-Airways?p=1","G-EUPB","Airbus A319-131","CY143","09. Nov 1999","null","18.4 Years"
"1519893816-4672","https://www.planespotters.net/airline/British-Airways?p=3","G-BNLP","Boeing 747-436","F14C52W36Y235","17. Dec 1990","null","27.3 Years"
"1519893816-4643","https://www.planespotters.net/airline/British-Airways?p=3","G-EUXF","Airbus A321-231","CY205","04. Nov 2004","null","13.4 Years"
"1519893819-4717","https://www.planespotters.net/airline/British-Airways?p=2","G-EUYM","Airbus A320-232","CY168","05. Aug 2011","null","6.6 Years"
"1519893814-4618","https://www.planespotters.net/airline/British-Airways?p=4","G-VIIP","Boeing 777-236(ER)","C40W24Y216","09. Feb 1999","null","19.1 Years"
"1519893811-4534","https://www.planespotters.net/airline/British-Airways?p=5","G-YMMT","Boeing 777-236(ER)","C48W24Y203","25. Jun 2009","null","8.7 Years"
"1519893816-4686","https://www.planespotters.net/airline/British-Airways?p=3","G-CIVF","Boeing 747-436","F14C86W30Y145","29. Mar 1995","null","23.0 Years"
"1519893811-4533","https://www.planespotters.net/airline/British-Airways?p=5","G-YMMS","Boeing 777-236(ER)","C48W24Y203","29. May 2009","null","8.8 Years"
"1519893814-4623","https://www.planespotters.net/airline/British-Airways?p=4","G-VIIV","Boeing 777-236(ER)","F14C48W40Y122","29. Jun 1999","null","18.7 Years"
"1519893821-4784","https://www.planespotters.net/airline/British-Airways?p=1","G-EUPU","Airbus A319-131","CY143","14. Dec 2000","null","17.3 Years"
"1519893811-4529","https://www.planespotters.net/airline/British-Airways?p=5","G-YMMN","Boeing 777-236(ER)","F13C48W32Y127","15. Jun 2001","null","16.7 Years"
"1519893821-4746","https://www.planespotters.net/airline/British-Airways?p=1","G-DBCA","Airbus A319-131","CY144","11. Nov 2012","null","14.3 Years"
"1519893814-4599","https://www.planespotters.net/airline/British-Airways?p=4","G-BNWZ","Boeing 767-336(ER)","CY259","25. Feb 1997","null","21.1 Years"
"1519893811-4566","https://www.planespotters.net/airline/British-Airways?p=5","G-ZBKE","Boeing 787-9 Dreamliner","F8C42W39Y127","27. Nov 2015","null","2.3 Years"
"1519893819-4720","https://www.planespotters.net/airline/British-Airways?p=2","G-EUYP","Airbus A320-232(WL)","CY168","09. Oct 2013","null","4.5 Years"
"1519893821-4792","https://www.planespotters.net/airline/British-Airways?p=1","G-EUUC","Airbus A320-232","CY168","28. Feb 2002","null","16.2 Years"
"1519893811-4540","https://www.planespotters.net/airline/British-Airways?p=5","G-STBB","Boeing 777-36N(ER)","F14C56W44Y183","31. Aug 2010","null","7.6 Years"
"1519893821-4789","https://www.planespotters.net/airline/British-Airways?p=1","G-EUPZ","Airbus A319-131","CY132","07. Jun 2001","null","16.8 Years"
"1519893816-4638","https://www.planespotters.net/airline/British-Airways?p=3","G-TTNB","Airbus A320-251N","","(On Order)","null",""
"1519893819-4694","https://www.planespotters.net/airline/British-Airways?p=2","G-EUUO","Airbus A320-232","CY168","11. Apr 2003","null","15.1 Years"
