web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519894626-6142","https://www.planespotters.net/airline/China-Eastern-Airlines?p=9","B-5492","Boeing 737-89P(WL)","C8Y159","24. Nov 2009","null","8.4 Years"
"1519894634-6317","https://www.planespotters.net/airline/China-Eastern-Airlines?p=6","B-5926","Airbus A330-243","C30Y204","04. Jun 2013","null","4.8 Years"
"1519894636-6367","https://www.planespotters.net/airline/China-Eastern-Airlines?p=5","B-6755","Airbus A321-231","C12Y166","23. Jun 2011","null","6.7 Years"
"1519894626-6118","https://www.planespotters.net/airline/China-Eastern-Airlines?p=9","B-1537","Boeing 737-89P(WL)","","21. Oct 2016","null","1.4 Years"
"1519894629-6185","https://www.planespotters.net/airline/China-Eastern-Airlines?p=8","B-5271","Boeing 737-79P(WL)","C8Y126","25. Oct 2010","null","7.4 Years"
"1519894636-6357","https://www.planespotters.net/airline/China-Eastern-Airlines?p=5","B-6366","Airbus A321-211","C20Y155","28. Jul 2008","null","9.6 Years"
"1519894646-6556","https://www.planespotters.net/airline/China-Eastern-Airlines?p=1","B-6476","Airbus A319-115(WL)","C8Y114","11. May 2015","null","2.8 Years"
"1519894631-6248","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-6100","Airbus A330-343","C38Y262","25. Jul 2008","null","9.9 Years"
"1519894639-6399","https://www.planespotters.net/airline/China-Eastern-Airlines?p=4","B-8387","Airbus A320-214(WL)","C8Y150","02. Mar 2017","null","1.0 Years"
"1519894631-6233","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-6122","Airbus A330-243","C24Y242","13. Mar 2006","null","12.1 Years"
"1519894646-6538","https://www.planespotters.net/airline/China-Eastern-Airlines?p=1","B-6439","Airbus A319-133","C8Y114","29. Mar 2013","null","4.9 Years"
"1519894636-6332","https://www.planespotters.net/airline/China-Eastern-Airlines?p=5","B-9975","Airbus A320-232(WL)","C8Y150","05. Nov 2013","null","4.4 Years"
"1519894636-6323","https://www.planespotters.net/airline/China-Eastern-Airlines?p=5","B-9941","Airbus A320-214(WL)","C8Y150","24. Jul 2013","null","4.7 Years"
"1519894624-6104","https://www.planespotters.net/airline/China-Eastern-Airlines?p=10","B-2022","Boeing 777-39P(ER)","F6C52Y258","29. Jul 2015","null","2.6 Years"
"1519894636-6335","https://www.planespotters.net/airline/China-Eastern-Airlines?p=5","B-","Airbus A320-251N","","(On Order)","null",""
"1519894629-6178","https://www.planespotters.net/airline/China-Eastern-Airlines?p=8","B-5257","Boeing 737-79P(WL)","C8Y126","23. Jul 2009","null","8.7 Years"
"1519894636-6322","https://www.planespotters.net/airline/China-Eastern-Airlines?p=5","B-9927","Airbus A320-214","C8Y150","26. Mar 2013","null","5.0 Years"
"1519894629-6219","https://www.planespotters.net/airline/China-Eastern-Airlines?p=8","B-1536","Boeing 737-89P(WL)","","19. Sep 2016","null","1.5 Years"
"1519894641-6448","https://www.planespotters.net/airline/China-Eastern-Airlines?p=3","B-6673","Airbus A320-232","C8Y150","22. Jun 2010","null","7.7 Years"
"1519894626-6145","https://www.planespotters.net/airline/China-Eastern-Airlines?p=9","B-5515","Boeing 737-89P(WL)","C8Y159","31. Oct 2011
(22. Jun 2010)","null","7.7 Years"
"1519894634-6287","https://www.planespotters.net/airline/China-Eastern-Airlines?p=6","B-8569","Airbus A321-211(WL)","C12Y170","30. Aug 2017","null","0.5 Years"
"1519894641-6431","https://www.planespotters.net/airline/China-Eastern-Airlines?p=3","B-6558","Airbus A320-232","C8Y150","20. Feb 2009","null","9.1 Years"
"1519894646-6561","https://www.planespotters.net/airline/China-Eastern-Airlines?p=1","B-1018","Airbus A320-214(WL)","C8Y150","27. Oct 2017","null","0.4 Years"
"1519894626-6165","https://www.planespotters.net/airline/China-Eastern-Airlines?p=9","B-5858","Boeing 737-89P(WL)","C8Y159","12. Nov 2013","null","4.3 Years"
"1519894634-6318","https://www.planespotters.net/airline/China-Eastern-Airlines?p=6","B-5930","Airbus A330-243","C30Y204","01. Jul 2013","null","4.7 Years"
"1519894639-6406","https://www.planespotters.net/airline/China-Eastern-Airlines?p=4","B-8498","Airbus A320-232(WL)","C8Y150","31. Mar 2016","null","2.0 Years"
"1519894634-6309","https://www.planespotters.net/airline/China-Eastern-Airlines?p=6","B-9907","Airbus A321-231(WL)","C12Y170","26. Apr 2013","null","4.9 Years"
"1519894626-6162","https://www.planespotters.net/airline/China-Eastern-Airlines?p=9","B-5839","Boeing 737-89P(WL)","C8Y159","06. Jun 2016","null","4.6 Years"
"1519894641-6439","https://www.planespotters.net/airline/China-Eastern-Airlines?p=3","B-6616","Airbus A320-232","C8Y150","17. Nov 2009","null","8.4 Years"
"1519894646-6546","https://www.planespotters.net/airline/China-Eastern-Airlines?p=1","B-6460","Airbus A319-115(WL)","C8Y114","03. Sep 2014","null","3.5 Years"
"1519894639-6414","https://www.planespotters.net/airline/China-Eastern-Airlines?p=4","B-8856","Airbus A320-214(WL)","C8Y150","30. Jun 2017","null","0.7 Years"
"1519894629-6211","https://www.planespotters.net/airline/China-Eastern-Airlines?p=8","B-1320","Boeing 737-89P(WL)","","16. Nov 2017","null","0.3 Years"
"1519894631-6221","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-5942","Airbus A330-243","C30Y204","03. Mar 2014","null","4.1 Years"
"1519894634-6289","https://www.planespotters.net/airline/China-Eastern-Airlines?p=6","B-8571","Airbus A321-211(WL)","C12Y170","28. Jul 2016","null","1.6 Years"
"1519894639-6378","https://www.planespotters.net/airline/China-Eastern-Airlines?p=4","B-6879","Airbus A320-214","C8Y150","16. May 2012","null","5.8 Years"
"1519894639-6384","https://www.planespotters.net/airline/China-Eastern-Airlines?p=4","B-6928","Airbus A320-214","C8Y150","12. Jun 2012","null","5.8 Years"
"1519894644-6521","https://www.planespotters.net/airline/China-Eastern-Airlines?p=2","B-6012","Airbus A320-214","C8Y150","28. Jul 2004","null","13.7 Years"
"1519894624-6090","https://www.planespotters.net/airline/China-Eastern-Airlines?p=10","B-7592","Boeing 737-89P(WL)","","18. Nov 2016","null","1.3 Years"
"1519894644-6494","https://www.planespotters.net/airline/China-Eastern-Airlines?p=2","B-2230","Airbus A320-214","C8Y150","10. Apr 2003","null","15.0 Years"
"1519894636-6356","https://www.planespotters.net/airline/China-Eastern-Airlines?p=5","B-6345","Airbus A321-211","C20Y155","18. Apr 2008","null","9.9 Years"
"1519894626-6130","https://www.planespotters.net/airline/China-Eastern-Airlines?p=9","B-1792","Boeing 737-89P(WL)","","23. Jul 2015","null","2.6 Years"
"1519894634-6297","https://www.planespotters.net/airline/China-Eastern-Airlines?p=6","B-8651","Airbus A321-211(WL)","C12Y170","09. Dec 2016","null","1.2 Years"
"1519894631-6228","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-5973","Airbus A330-243","C30Y204","22. May 2015","null","2.8 Years"
"1519894631-6261","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-8970","Airbus A330-343","C32W32Y230","28. Jun 2017","null","0.8 Years"
