web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519894513-5601","https://www.planespotters.net/airline/China-Southern-Airlines?p=10","B-2041","Boeing 777-F1B","Cargo","04. Sep 2013","null","4.7 Years"
"1519894528-5882","https://www.planespotters.net/airline/China-Southern-Airlines?p=4","B-2282","Airbus A321-231","C12W24Y143","Nov 2004","null","15.7 Years"
"1519894528-5868","https://www.planespotters.net/airline/China-Southern-Airlines?p=4","B-1626","Airbus A321-231","C12W24Y143","16. Mar 2015","null","3.0 Years"
"1519894532-6010","https://www.planespotters.net/airline/China-Southern-Airlines?p=2","B-6682","Airbus A320-214","C8W24Y120","21. Sep 2010","null","7.5 Years"
"1519894523-5807","https://www.planespotters.net/airline/China-Southern-Airlines?p=6","B-8363","Airbus A330-343","C28Y258","28. Sep 2017","null","0.5 Years"
"1519894535-6059","https://www.planespotters.net/airline/China-Southern-Airlines?p=1","B-1805","Airbus A320-232","C8W24Y120","21. Jan 2014","null","4.1 Years"
"1519894535-6062","https://www.planespotters.net/airline/China-Southern-Airlines?p=1","B-2350","Airbus A320-232","C8W24Y120","12. Sep 1997","null","20.5 Years"
"1519894535-6045","https://www.planespotters.net/airline/China-Southern-Airlines?p=1","B-6209","Airbus A319-115","C8Y120","21. Sep 2005","null","12.5 Years"
"1519894523-5804","https://www.planespotters.net/airline/China-Southern-Airlines?p=6","B-8360","Airbus A330-323","","11. Jul 2017","null","0.7 Years"
"1519894535-6067","https://www.planespotters.net/airline/China-Southern-Airlines?p=1","B-2366","Airbus A320-232","C8W24Y120","05. Aug 1998","null","19.7 Years"
"1519894532-5972","https://www.planespotters.net/airline/China-Southern-Airlines?p=2","B-2406","Airbus A320-214","C8W24Y120","27. Jan 2005","null","13.2 Years"
"1519894530-5942","https://www.planespotters.net/airline/China-Southern-Airlines?p=3","B-8547","Airbus A320-214(WL)","C8W24Y120","23. Aug 2016","null","1.6 Years"
"1519894513-5568","https://www.planespotters.net/airline/China-Southern-Airlines?p=10","B-5760","Boeing 737-81B(WL)","C8W24Y132","16. Jul 2013","null","4.6 Years"
"1519894535-6066","https://www.planespotters.net/airline/China-Southern-Airlines?p=1","B-2365","Airbus A320-232","C8W24Y120","25. Aug 1998","null","19.8 Years"
"1519894535-6069","https://www.planespotters.net/airline/China-Southern-Airlines?p=1","B-2368","Airbus A320-232","C8W24Y120","28. Oct 1998","null","19.5 Years"
"1519894528-5896","https://www.planespotters.net/airline/China-Southern-Airlines?p=4","B-6305","Airbus A321-231","C12W24Y143","21. Dec 2006","null","11.3 Years"
"1519894510-5535","https://www.planespotters.net/airline/China-Southern-Airlines?p=11","B-3135","Embraer ERJ-190LR (ERJ-190-100 LR)","C6W16Y76","26. Apr 2012","null","5.9 Years"
"1519894510-5524","https://www.planespotters.net/airline/China-Southern-Airlines?p=11","B-2725","Boeing 787-8 Dreamliner","F4C24Y200","30. May 2013","null","4.9 Years"
"1519894518-5698","https://www.planespotters.net/airline/China-Southern-Airlines?p=8","B-5020","Boeing 737-81B","C8W24Y129","21. Jan 2003","null","15.2 Years"
"1519894513-5576","https://www.planespotters.net/airline/China-Southern-Airlines?p=10","B-5836","Boeing 737-81B(WL)","C8W24Y132","14. Oct 2013","null","4.4 Years"
"1519894525-5838","https://www.planespotters.net/airline/China-Southern-Airlines?p=5","B-8425","Airbus A321-211(WL)","C12W24Y143","15. Jul 2016","null","1.7 Years"
"1519894525-5815","https://www.planespotters.net/airline/China-Southern-Airlines?p=5","B-6581","Airbus A321-231","C12W24Y143","23. Jul 2009","null","8.6 Years"
"1519894525-5863","https://www.planespotters.net/airline/China-Southern-Airlines?p=5","B-","Airbus A321-271N","","(On Order)","null",""
"1519894520-5736","https://www.planespotters.net/airline/China-Southern-Airlines?p=7","B-5250","Boeing 737-71B(WL)","C8W24Y88","13. Aug 2007","null","10.6 Years"
"1519894520-5740","https://www.planespotters.net/airline/China-Southern-Airlines?p=7","B-5275","Boeing 737-71B(WL)","C8W24Y88","08. Aug 2011","null","6.6 Years"
"1519894510-5511","https://www.planespotters.net/airline/China-Southern-Airlines?p=11","B-2075","Boeing 777-F1B","Cargo","01. Dec 2009","null","8.4 Years"
