web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519892612-2834","https://www.planespotters.net/airline/Delta-Air-Lines?p=6","N989AT","Boeing 717-23S","C12W15Y83","04. Nov 2013","9527","16.5 Years"
"1519892619-3008","https://www.planespotters.net/airline/Delta-Air-Lines?p=3","N337DN","Airbus A321-211(WL)","C20W29Y143","27. Feb 2018","3037","0.0 Years"
"1519892589-2358","https://www.planespotters.net/airline/Delta-Air-Lines?p=15","N953DL","McDonnell Douglas MD-88","C16W15Y118","21. Mar 1990","953","28.1 Years"
"1519892586-2275","https://www.planespotters.net/airline/Delta-Air-Lines?p=16","N976DL","McDonnell Douglas MD-88","C16W15Y118","17. Apr 1991","976","27.0 Years"
"1519892596-2487","https://www.planespotters.net/airline/Delta-Air-Lines?p=12","N712TW","Boeing 757-2Q8(WL)","C16W44Y108","15. Oct 2007","6808","20.8 Years"
"1519892614-2853","https://www.planespotters.net/airline/Delta-Air-Lines?p=5","N505DN","Airbus A350-941","C32W48Y226","11. Dec 2017","3505","0.3 Years"
"1519892622-3013","https://www.planespotters.net/airline/Delta-Air-Lines?p=2","N369NB","Airbus A319-114","C12W18Y96","29. Oct 2008","3169","14.5 Years"
"1519892594-2469","https://www.planespotters.net/airline/Delta-Air-Lines?p=13","N394DL","Boeing 767-324(ER)(WL)","C26W29Y171","21. Apr 1998","1521","23.0 Years"
"1519892604-2656","https://www.planespotters.net/airline/Delta-Air-Lines?p=9","N843DN","Boeing 737-932(ER)(WL)","C20W21Y139","24. Jul 2015","3843","2.6 Years"
"1519892602-2612","https://www.planespotters.net/airline/Delta-Air-Lines?p=10","N545US","Boeing 757-251(WL)","C20W29Y150","29. Oct 2008","5645","21.8 Years"
"1519892609-2750","https://www.planespotters.net/airline/Delta-Air-Lines?p=7","N372DA","Boeing 737-832(WL)","C16W18Y126","26. Oct 1998","3702","19.4 Years"
"1519892624-3070","https://www.planespotters.net/airline/Delta-Air-Lines?p=1","N317NB","Airbus A319-114","C12W18Y96","29. Oct 2008","3117","17.5 Years"
"1519892584-2240","https://www.planespotters.net/airline/Delta-Air-Lines?p=17","N933DN","McDonnell Douglas MD-90-30","C16W15Y129","07. Feb 2011","9233","20.7 Years"
"1519892604-2646","https://www.planespotters.net/airline/Delta-Air-Lines?p=9","N833DN","Boeing 737-932(ER)(WL)","C20W21Y139","28. Jan 2015","3833","3.1 Years"
"1519892622-3044","https://www.planespotters.net/airline/Delta-Air-Lines?p=2","N344NW","Airbus A320-212","C12W18Y120","29. Oct 2008","3244","25.3 Years"
"1519892586-2312","https://www.planespotters.net/airline/Delta-Air-Lines?p=16","N914DN","McDonnell Douglas MD-90-30","C16W15Y129","08. Nov 1996","9214","21.4 Years"
"1519892604-2664","https://www.planespotters.net/airline/Delta-Air-Lines?p=9","N851DN","Boeing 737-932(ER)(WL)","C20W21Y139","19. Jan 2016","3851","2.1 Years"
"1519892607-2694","https://www.planespotters.net/airline/Delta-Air-Lines?p=8","N377DE","Boeing 737-8EH(WL)","C16W30Y108","07. Feb 2017","","4.1 Years"
"1519892607-2716","https://www.planespotters.net/airline/Delta-Air-Lines?p=8","N399DA","Boeing 737-832(WL)","C16W18Y126","19. Sep 2000","3729","17.5 Years"
"1519892594-2471","https://www.planespotters.net/airline/Delta-Air-Lines?p=13","N826MH","Boeing 767-432(ER)","C40W28Y178","30. Nov 2000","1802","18.3 Years"
"1519892624-3082","https://www.planespotters.net/airline/Delta-Air-Lines?p=1","N329NB","Airbus A319-114","C12W18Y96","29. Oct 2008","3129","16.7 Years"
"1519892617-2936","https://www.planespotters.net/airline/Delta-Air-Lines?p=4","N813NW","Airbus A330-323","C34W32Y227","29. Oct 2008","3313","11.3 Years"
"1519892612-2823","https://www.planespotters.net/airline/Delta-Air-Lines?p=6","N979AT","Boeing 717-2BD","C12W15Y83","14. Nov 2013","9544","15.6 Years"
"1519892589-2337","https://www.planespotters.net/airline/Delta-Air-Lines?p=15","N931DL","McDonnell Douglas MD-88","C16W15Y118","07. Dec 1988","931","29.4 Years"
"1519892614-2862","https://www.planespotters.net/airline/Delta-Air-Lines?p=5","N608AT","Boeing 717-231","C12W15Y83","02. Jul 2015","9576","17.2 Years"
"1519892624-3115","https://www.planespotters.net/airline/Delta-Air-Lines?p=1","N364NB","Airbus A319-114","C12W18Y96","29. Oct 2008","3164","14.7 Years"
"1519892617-2948","https://www.planespotters.net/airline/Delta-Air-Lines?p=4","N825NW","Airbus A330-302","C34W32Y227","18. Nov 2015","3325","2.4 Years"
"1519892609-2752","https://www.planespotters.net/airline/Delta-Air-Lines?p=7","N3731T","Boeing 737-832(WL)","C16W18Y126","29. Sep 2000","3731","17.5 Years"
"1519892622-3014","https://www.planespotters.net/airline/Delta-Air-Lines?p=2","N370NB","Airbus A319-114","C12W18Y96","29. Oct 2008","3170","14.3 Years"
"1519892614-2895","https://www.planespotters.net/airline/Delta-Air-Lines?p=5","N942AT","Boeing 717-2BD","C12W15Y83","26. May 2015","9502","18.8 Years"
"1519892589-2353","https://www.planespotters.net/airline/Delta-Air-Lines?p=15","N948DL","McDonnell Douglas MD-88","C16W15Y118","29. Dec 1989","948","28.4 Years"
"1519892602-2617","https://www.planespotters.net/airline/Delta-Air-Lines?p=10","N550NW","Boeing 757-251(WL)","C20W29Y150","29. Oct 2008","5650","16.8 Years"
"1519892604-2693","https://www.planespotters.net/airline/Delta-Air-Lines?p=9","N880DN","Boeing 737-932(ER)(WL)","C20W21Y139","13. Jul 2017","3880","0.7 Years"
"1519892602-2606","https://www.planespotters.net/airline/Delta-Air-Lines?p=10","N539US","Boeing 757-251(WL)","C20W29Y150","29. Oct 2008","5639","22.0 Years"
"1519892624-3071","https://www.planespotters.net/airline/Delta-Air-Lines?p=1","N318NB","Airbus A319-114","C12W18Y96","29. Oct 2008","3118","17.5 Years"
"1519892617-2931","https://www.planespotters.net/airline/Delta-Air-Lines?p=4","N808NW","Airbus A330-323","C34W32Y227","29. Oct 2008","3308","13.9 Years"
