CA,NH,AA,BA,MU,CZ,DL,EK,EY,LH,FR,QR,UA
157,57,39,62,89,83,66,216,201,45,106,90,27
164,58,54,90,107,84,74,233,236,49,108,132,29
191,65,66,113,147,103,76,237,281,85,125,138,55
197,75,75,126,152,127,82,250,292,90,137,186,56
208,80,80,132,155,157,93,259,333,97,141,191,60
218,82,83,150,157,158,95,302,370,108,149,201,66
220,100,88,160,158,164,98,322,376,115,159,208,67
225,113,89,172,162,166,106,356,403,116,162,211,72
228,127,90,190,166,167,109,401,405,118,164,226,73
230,131,91,208,167,173,112,483,418,119,166,237,77
232,132,95,212,169,179,113,519,428,127,171,246,83
240,145,99,215,173,188,119,530,431,150,172,277,85
242,163,102,217,178,189,127,542,435,162,179,279,88
244,166,103,218,179,190,133,595,439,164,185,302,89
247,168,104,226,187,194,143,615,500,168,191,305,90
248,169,105,227,189,196,144,677,519,173,199,351,93
255,173,106,230,194,197,145,738,528,174,205,370,95
257,176,108,236,197,199,146,745,564,175,207,403,96
259,181,109,251,202,204,150,811,601,177,208,418,98
266,197,110,254,209,210,151,868,606,178,209,436,99
267,211,111,264,214,215,152,982,636,181,210,438,100
274,225,112,269,218,219,153,987,656,185,216,490,101
275,226,115,279,220,220,154,1015,722,186,220,500,104
277,228,116,287,223,221,156,1048,746,188,221,591,105
278,230,117,289,227,223,161,1050,786,191,222,606,108
279,231,119,311,228,225,163,1056,787,193,236,618,109
280,244,121,312,230,230,164,1079,838,194,237,636,111
285,249,125,315,233,236,165,1098,876,195,247,688,113
286,250,127,319,234,237,170,1140,917,198,249,702,116
297,251,129,322,241,238,174,1197,939,203,251,707,118
300,265,134,331,243,240,183,1205,991,208,253,722,119
303,268,135,337,245,243,184,1211,1002,209,254,738,120
308,275,136,342,247,252,186,1229,1029,211,256,744,122
309,280,139,344,250,253,187,1233,1033,212,258,745,125
315,281,140,345,251,255,188,1240,1050,213,268,802,127
317,287,142,353,255,264,189,1252,1057,220,269,824,128
324,295,146,356,257,266,190,1256,1140,223,272,826,129
328,296,150,369,266,267,191,1321,1147,227,284,838,133
330,299,153,370,267,269,194,1330,1163,229,285,882,134
331,305,155,378,269,271,196,1342,1181,236,289,896,136
334,309,156,384,271,273,197,1357,1210,237,290,950,139
