web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519893069-3909","https://www.planespotters.net/airline/Emirates?p=6","A6-EPW","Boeing 777-31H(ER)","F8C42Y306","21. Dec 2016","null","1.3 Years"
"1519893081-4132","https://www.planespotters.net/airline/Emirates?p=1","A6-EDH","Airbus A380-861","F14C76Y427","15. Jan 2010","null","8.6 Years"
"1519893076-4062","https://www.planespotters.net/airline/Emirates?p=3","A6-EWF","Boeing 777-21H(LR)","F8C42Y216","28. Aug 2008","null","9.5 Years"
"1519893069-3914","https://www.planespotters.net/airline/Emirates?p=6","A6-EQB","Boeing 777-31H(ER)","F8C42Y306","30. May 2017","null","0.8 Years"
"1519893076-4044","https://www.planespotters.net/airline/Emirates?p=3","A6-EFD","Boeing 777-F1H","Cargo","27. Mar 2009","null","9.0 Years"
"1519893073-3987","https://www.planespotters.net/airline/Emirates?p=4","A6-EBV","Boeing 777-31H(ER)","C42Y386","30. Oct 2006","null","11.4 Years"
"1519893076-4064","https://www.planespotters.net/airline/Emirates?p=3","A6-EWH","Boeing 777-21H(LR)","F8C42Y216","23. Dec 2008","null","9.2 Years"
"1519893081-4158","https://www.planespotters.net/airline/Emirates?p=1","A6-EEH","Airbus A380-861","F14C76Y399","04. Jun 2013","null","5.2 Years"
"1519893073-3992","https://www.planespotters.net/airline/Emirates?p=4","A6-ECA","Boeing 777-36N(ER)","F8C42Y304","21. Jun 2007","null","10.8 Years"
"1519893071-3924","https://www.planespotters.net/airline/Emirates?p=5","A6-EGG","Boeing 777-31H(ER)","F8C42Y310","11. Oct 2011","null","6.4 Years"
"1519893069-3891","https://www.planespotters.net/airline/Emirates?p=6","A6-EPE","Boeing 777-31H(ER)","C42Y386","25. Nov 2015","null","2.4 Years"
"1519893073-4016","https://www.planespotters.net/airline/Emirates?p=4","A6-ECY","Boeing 777-31H(ER)","C42Y386","27. Jan 2010","null","8.2 Years"
"1519893073-4008","https://www.planespotters.net/airline/Emirates?p=4","A6-ECQ","Boeing 777-31H(ER)","F8C42Y304","30. Apr 2009","null","8.9 Years"
"1519893069-3897","https://www.planespotters.net/airline/Emirates?p=6","A6-EPK","Boeing 777-31H(ER)","F8C42Y310","16. Mar 2016","null","2.1 Years"
"1519893071-3944","https://www.planespotters.net/airline/Emirates?p=5","A6-EMQ","Boeing 777-31H","F12C42Y310","24. Apr 2002","null","15.9 Years"
"1519893076-4050","https://www.planespotters.net/airline/Emirates?p=3","A6-EFJ","Boeing 777-F1H","Cargo","19. Dec 2012","null","5.2 Years"
"1519893081-4151","https://www.planespotters.net/airline/Emirates?p=1","A6-EEA","Airbus A380-861","F14C76Y427","19. Dec 2012","null","5.9 Years"
"1519893081-4145","https://www.planespotters.net/airline/Emirates?p=1","A6-EDU","Airbus A380-861","F14C76Y427","24. Feb 2012","null","6.5 Years"
"1519893071-3943","https://www.planespotters.net/airline/Emirates?p=5","A6-EGZ","Boeing 777-31H(ER)","F8C42Y310","30. Sep 2012","null","5.5 Years"
"1519893076-4056","https://www.planespotters.net/airline/Emirates?p=3","A6-EFS","Boeing 777-F1H","Cargo","31. Aug 2015","null","2.6 Years"
"1519893069-3912","https://www.planespotters.net/airline/Emirates?p=6","A6-EPZ","Boeing 777-31H(ER)","F8C42Y306","31. Mar 2017","null","1.1 Years"
"1519893073-4022","https://www.planespotters.net/airline/Emirates?p=4","A6-EGE","Boeing 777-31H(ER)","F8C42Y304","05. Aug 2011","null","6.6 Years"
"1519893069-3917","https://www.planespotters.net/airline/Emirates?p=6","A6-EQE","Boeing 777-31H(ER)","F8C42Y306","18. Aug 2017","null","0.6 Years"
"1519893073-3984","https://www.planespotters.net/airline/Emirates?p=4","A6-EBS","Boeing 777-31H(ER)","C42Y386","21. Sep 2006","null","11.6 Years"
"1519893073-3996","https://www.planespotters.net/airline/Emirates?p=4","A6-ECE","Boeing 777-31H(ER)","F8C42Y304","20. Dec 2007","null","10.3 Years"
"1519893073-3989","https://www.planespotters.net/airline/Emirates?p=4","A6-EBX","Boeing 777-31H(ER)","C42Y386","15. Mar 2007","null","11.0 Years"
"1519893078-4097","https://www.planespotters.net/airline/Emirates?p=2","A6-EOU","Airbus A380-861","F14C76Y429","26. Jan 2016","null","2.6 Years"
"1519893071-3946","https://www.planespotters.net/airline/Emirates?p=5","A6-EMT","Boeing 777-31H","F12C42Y310","03. Sep 2002","null","15.6 Years"
"1519893078-4114","https://www.planespotters.net/airline/Emirates?p=2","A6-EUL","Airbus A380-861","F14C76Y426","20. Dec 2016","null","1.6 Years"
