web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519893751-4521","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EYK","Airbus A330-243","C22Y240","24. Nov 2006","null","11.3 Years"
"1519893751-4495","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIW","Airbus A320-232(WL)","C16Y120","22. Jan 2014","null","4.2 Years"
"1519893751-4509","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-AEJ","Airbus A321-231(WL)","C16Y158","16. Nov 2015","null","2.3 Years"
"1519893751-4520","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EYJ","Airbus A330-243","C22Y240","29. Jun 2006","null","12.0 Years"
"1519893749-4472","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-ETP","Boeing 777-3FX(ER)","C40Y340","25. Jun 2013","null","4.8 Years"
"1519893751-4512","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-DCC","Airbus A330-243F","Cargo","28. May 2013","null","4.8 Years"
"1519893749-4453","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-LRA","Boeing 777-237(LR)","F8C40Y189","08. Feb 2014","null","11.1 Years"
"1519893749-4445","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-APH","Airbus A380-861","P2F9C70Y417","12. May 2016","null","2.2 Years"
"1519893749-4460","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-ETD","Boeing 777-3FX(ER)","C28Y384","20. Apr 2006","null","12.1 Years"
"1519893746-4409","https://www.planespotters.net/airline/Etihad-Airways?p=3","A6-BLD","Boeing 787-9 Dreamliner","F8C28Y199","05. Jun 2015","null","2.8 Years"
"1519893749-4448","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-DDA","Boeing 777-FFX","Cargo","21. Jun 2011","null","6.7 Years"
"1519893751-4478","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIF","Airbus A320-232","C16Y120","15. May 2008","null","11.2 Years"
"1519893751-4514","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EYD","Airbus A330-243","C22Y240","27. May 2005","null","12.8 Years"
"1519893746-4421","https://www.planespotters.net/airline/Etihad-Airways?p=3","A6-BLP","Boeing 787-9 Dreamliner","C28Y271","20. Jul 2017","null","0.6 Years"
"1519893751-4500","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-AEA","Airbus A321-231(WL)","C16Y158","12. Nov 2013","null","4.3 Years"
"1519893749-4468","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-ETL","Boeing 777-3FX(ER)","F8C40Y280","20. Dec 2012","null","5.3 Years"
"1519893751-4522","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EYL","Airbus A330-243","C22Y240","31. Jan 2007","null","11.1 Years"
"1519893751-4517","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EYG","Airbus A330-243","C22Y240","29. Mar 2006","null","12.1 Years"
"1519893749-4473","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-ETQ","Boeing 777-3FX(ER)","C40Y340","26. Sep 2013","null","4.5 Years"
"1519893749-4449","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-DDB","Boeing 777-FFX","Cargo","30. Jan 2013","null","5.1 Years"
"1519893749-4433","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-AFB","Airbus A330-343","F8C32Y191","28. Jan 2010","null","8.2 Years"
"1519893749-4437","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-AFF","Airbus A330-343","F8C32Y191","22. Aug 2011","null","6.6 Years"
"1519893751-4493","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIU","Airbus A320-232(WL)","C16Y120","25. Oct 2013","null","4.4 Years"
"1519893749-4426","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-EYP","Airbus A330-243","C22Y240","15. Oct 2007","null","10.6 Years"
"1519893751-4475","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EID","Airbus A319-132","C16Y90","24. Apr 2008","null","14.9 Years"
"1519893751-4516","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EYF","Airbus A330-243","C22Y240","27. Feb 2006","null","12.1 Years"
"1519893751-4477","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIC","Airbus A320-232","C16Y120","14. Dec 2007","null","14.1 Years"
"1519893746-4423","https://www.planespotters.net/airline/Etihad-Airways?p=3","A6-BLR","Boeing 787-9 Dreamliner","C28Y271","18. Oct 2017","null","0.4 Years"
"1519893751-4524","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EYN","Airbus A330-243","C22Y240","18. Jun 2007","null","10.9 Years"
"1519893749-4442","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-APE","Airbus A380-861","P2F9C70Y417","19. Oct 2015","null","2.8 Years"
"1519893749-4432","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-AFA","Airbus A330-343","F8C32Y191","23. Dec 2009","null","8.2 Years"
"1519893751-4513","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-DCE","Airbus A330-243F","Cargo","27. Feb 2017","null","1.0 Years"
"1519893751-4511","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-DCB","Airbus A330-243F","Cargo","17. Sep 2010","null","7.5 Years"
"1519893751-4519","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EYI","Airbus A330-243","C22Y240","20. Jun 2006","null","12.0 Years"
"1519893749-4436","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-AFE","Airbus A330-343","F8C32Y191","29. Jun 2011","null","6.8 Years"
"1519893751-4487","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIO","Airbus A320-232","C16Y120","20. Dec 2011","null","6.3 Years"
"1519893751-4485","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIM","Airbus A320-232","C16Y120","04. Nov 2009","null","8.4 Years"
"1519893751-4480","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIH","Airbus A320-232","C16Y120","25. Nov 2008","null","9.3 Years"
"1519893751-4504","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-AEE","Airbus A321-231(WL)","C16Y158","13. Apr 2015","null","2.9 Years"
"1519893751-4488","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIP","Airbus A320-232","C16Y120","29. Mar 2012","null","5.9 Years"
"1519893749-4447","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-APJ","Airbus A380-861","P2F9C70Y417","24. May 2017","null","1.2 Years"
"1519893751-4515","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EYE","Airbus A330-243","C22Y240","30. Sep 2005","null","12.6 Years"
"1519893751-4481","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EII","Airbus A320-232","C16Y120","23. Dec 2016
(12. Dec 2008)","null","9.3 Years"
