web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519893951-4860","https://www.planespotters.net/airline/Lufthansa?p=5","D-AIXA","Airbus A350-941","C48W21Y224","19. Dec 2016","null","1.3 Years"
"1519893948-4800","https://www.planespotters.net/airline/Lufthansa?p=6","D-AIMN","Airbus A380-841","F8C78W52Y371","07. Apr 2015","null","3.3 Years"
"1519893948-4808","https://www.planespotters.net/airline/Lufthansa?p=6","D-ABVT","Boeing 747-430","C67W32Y272","28. Apr 1997","null","20.9 Years"
"1519893961-5033","https://www.planespotters.net/airline/Lufthansa?p=1","D-AIBA","Airbus A319-112","CY138","21. Dec 2009","null","8.2 Years"
"1519893951-4840","https://www.planespotters.net/airline/Lufthansa?p=5","D-AIHA","Airbus A340-642","F8C44W32Y213","23. Dec 2003","null","14.6 Years"
"1519893951-4853","https://www.planespotters.net/airline/Lufthansa?p=5","D-AIHT","Airbus A340-642","F8C44W32Y213","29. Apr 2008","null","9.9 Years"
"1519893953-4912","https://www.planespotters.net/airline/Lufthansa?p=4","D-AIKJ","Airbus A330-343","C42W28Y185","04. Nov 2005","null","12.4 Years"
"1519893958-5003","https://www.planespotters.net/airline/Lufthansa?p=2","D-AIUT","Airbus A320-214(WL)","CY180","12. May 2016","null","1.8 Years"
"1519893961-5050","https://www.planespotters.net/airline/Lufthansa?p=1","D-AILI","Airbus A319-114","CY138","29. Oct 2011
(18. Feb 1997)","null","21.1 Years"
"1519893958-5019","https://www.planespotters.net/airline/Lufthansa?p=2","D-AIZH","Airbus A320-214","CY168","02. Jul 2010","null","7.7 Years"
"1519893956-4963","https://www.planespotters.net/airline/Lufthansa?p=3","D-AIDD","Airbus A321-231","CY205","08. Feb 2011","null","7.1 Years"
"1519893953-4902","https://www.planespotters.net/airline/Lufthansa?p=4","D-AISZ","Airbus A321-231","CY205","02. Nov 2009","null","8.3 Years"
"1519893953-4924","https://www.planespotters.net/airline/Lufthansa?p=4","D-AIFD","Airbus A340-313","F8C36Y197","16. Mar 2001","null","17.1 Years"
"1519893958-5000","https://www.planespotters.net/airline/Lufthansa?p=2","D-AIUQ","Airbus A320-214(WL)","CY180","10. Feb 2016","null","2.1 Years"
"1519893951-4874","https://www.planespotters.net/airline/Lufthansa?p=5","D-AIME","Airbus A380-841","F8C78W52Y371","15. Mar 2011","null","7.6 Years"
"1519893961-5051","https://www.planespotters.net/airline/Lufthansa?p=1","D-AILK","Airbus A319-114","CY138","19. Jan 2007
(05. May 1997)","null","20.9 Years"
"1519893948-4821","https://www.planespotters.net/airline/Lufthansa?p=6","D-ABYJ","Boeing 747-830","F8C80W32Y244","25. Jun 2013","null","4.7 Years"
"1519893951-4838","https://www.planespotters.net/airline/Lufthansa?p=5","D-AIGY","Airbus A340-313","C18W19Y261","05. Jun 2000","null","17.8 Years"
"1519893958-4992","https://www.planespotters.net/airline/Lufthansa?p=2","D-AIUI","Airbus A320-214(WL)","CY168","17. Sep 2014","null","3.5 Years"
"1519893961-5061","https://www.planespotters.net/airline/Lufthansa?p=1","D-AILX","Airbus A319-114","CY138","31. Mar 2006
(28. Jul 1998)","null","19.7 Years"
"1519893956-4958","https://www.planespotters.net/airline/Lufthansa?p=3","D-AIRX","Airbus A321-131","CY205","01. Oct 1998","null","19.5 Years"
"1519893953-4913","https://www.planespotters.net/airline/Lufthansa?p=4","D-AIKK","Airbus A330-343","F8C48Y165","31. Jan 2008","null","10.1 Years"
"1519893956-4941","https://www.planespotters.net/airline/Lufthansa?p=3","D-AIRB","Airbus A321-131","CY205","07. Feb 1994","null","24.2 Years"
