web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519893683-4328","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-AEF","Airbus A330-302","C30Y275","17. Feb 2006","null","12.1 Years"
"1519893686-4376","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AHJ","Airbus A320-232","C12Y132","08. Aug 2011","null","6.7 Years"
"1519893674-4176","https://www.planespotters.net/airline/Qatar-Airways?p=5","A7-BCB","Boeing 787-8 Dreamliner","C22Y232","05. Oct 2012","null","5.7 Years"
"1519893677-4208","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BFK","Boeing 777-FDZ","Cargo","26. Sep 2016","null","1.5 Years"
"1519893680-4286","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-APJ","Airbus A380-861","F8C48Y461","(On Order)","null","0.2 Years"
"1519893686-4374","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AHH","Airbus A320-232","C12Y132","25. May 2011","null","6.8 Years"
"1519893686-4403","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-ACB","Airbus A330-202","C24Y248","01. Aug 2002","null","15.7 Years"
"1519893677-4233","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BAY","Boeing 777-3DZ(ER)","C24Y388","01. Mar 2013","null","5.1 Years"
"1519893680-4300","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-BFC","Boeing 777-FDZ","Cargo","28. Oct 2011","null","6.4 Years"
"1519893686-4392","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-LAE","Airbus A320-214(WL)","","25. Jun 2015","null","2.8 Years"
"1519893680-4268","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-ALW","Airbus A350-941","","(On Order)","null",""
"1519893680-4304","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-BFG","Boeing 777-FDZ","Cargo","30. Sep 2014","null","3.5 Years"
"1519893683-4310","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-ACI","Airbus A330-202","C24Y248","17. May 2006","null","11.9 Years"
"1519893686-4401","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AID","Airbus A321-231","C12Y170","09. Dec 2010","null","7.3 Years"
"1519893680-4259","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-ALN","Airbus A350-941","C36Y247","27. Feb 2017","null","1.1 Years"
"1519893686-4355","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-CJA","Airbus A319-133(LR)","C8Y102","24. Feb 2003","null","16.0 Years"
"1519893680-4302","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-BFE","Boeing 777-FDZ","Cargo","21. Jun 2013","null","4.8 Years"
"1519893686-4396","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-ADS","Airbus A321-231","C12Y170","30. Apr 2004","null","15.0 Years"
"1519893677-4211","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BAA","Boeing 777-3DZ(ER)","C42Y316","27. Nov 2007","null","10.3 Years"
"1519893680-4260","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-ALO","Airbus A350-941","C36Y247","25. Oct 2017","null","0.5 Years"
"1519893683-4319","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-AFJ","Airbus A330-243F","Cargo","22. Feb 2016","null","2.1 Years"
"1519893683-4312","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-ACK","Airbus A330-202","C24Y248","23. Nov 2006","null","11.4 Years"
"1519893674-4188","https://www.planespotters.net/airline/Qatar-Airways?p=5","A7-BCN","Boeing 787-8 Dreamliner","C22Y232","21. Jul 2014","null","3.8 Years"
"1519893677-4225","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BAP","Boeing 777-3DZ(ER)","C24Y388","13. Sep 2011","null","6.5 Years"
"1519893680-4257","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-ALL","Airbus A350-941","C36Y247","01. Nov 2016","null","1.5 Years"
"1519893677-4229","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BAU","Boeing 777-3DZ(ER)","C24Y388","17. Dec 2013","null","4.2 Years"
"1519893683-4334","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-AEN","Airbus A330-302","C30Y275","03. Mar 2008","null","10.1 Years"
"1519893680-4272","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-AMA","Airbus A350-941","C30W63Y246","28. Feb 2017","null","1.3 Years"
"1519893680-4267","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-ALV","Airbus A350-941","","(On Order)","null",""
"1519893674-4198","https://www.planespotters.net/airline/Qatar-Airways?p=5","A7-BCX","Boeing 787-8 Dreamliner","C22Y232","02. Nov 2015","null","2.5 Years"
"1519893683-4325","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-AEC","Airbus A330-302","C30Y265","25. Apr 2005","null","12.9 Years"
"1519893686-4360","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-ADD","Airbus A320-232","C12Y132","03. Dec 2002","null","15.4 Years"
"1519893674-4193","https://www.planespotters.net/airline/Qatar-Airways?p=5","A7-BCS","Boeing 787-8 Dreamliner","C22Y232","26. Feb 2015","null","3.2 Years"
"1519893683-4335","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-AEO","Airbus A330-302","C30Y275","14. Apr 2008","null","10.0 Years"
"1519893686-4384","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AHU","Airbus A320-232(WL)","C12Y120","24. May 2012","null","5.9 Years"
"1519893686-4375","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AHI","Airbus A320-232","C12Y132","12. Jul 2011","null","6.7 Years"
"1519893683-4342","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-ANC","Airbus A350-1041","","(On Order)","null",""
"1519893674-4194","https://www.planespotters.net/airline/Qatar-Airways?p=5","A7-BCT","Boeing 787-8 Dreamliner","C22Y232","26. Feb 2015","null","3.1 Years"
"1519893677-4217","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BAH","Boeing 777-3DZ(ER)","C42Y316","25. Feb 2010","null","8.1 Years"
"1519893686-4363","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-ADG","Airbus A320-232","C12Y132","05. Nov 2003","null","14.4 Years"
"1519893674-4183","https://www.planespotters.net/airline/Qatar-Airways?p=5","A7-BCI","Boeing 787-8 Dreamliner","C22Y232","15. Mar 2014","null","4.2 Years"
"1519893674-4185","https://www.planespotters.net/airline/Qatar-Airways?p=5","A7-BCK","Boeing 787-8 Dreamliner","C22Y232","19. Dec 2012","null","5.3 Years"
"1519893677-4205","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BFH","Boeing 777-FDZ","Cargo","19. Mar 2015","null","3.0 Years"
"1519893677-4232","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BAX","Boeing 777-3DZ(ER)","C24Y388","20. Aug 2012","null","5.6 Years"
"1519893677-4238","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BED","Boeing 777-3DZ(ER)","C42Y312","27. Oct 2014","null","3.4 Years"
"1519893677-4253","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BES","Boeing 777-3DZ(ER)","","(On Order)","null",""
"1519893677-4254","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BEU","Boeing 777-3DZ(ER)","","(On Order)","null",""
"1519893686-4366","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-ADJ","Airbus A320-232","C12Y132","15. Oct 2004","null","13.5 Years"
"1519893683-4340","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-ANA","Airbus A350-1041","C46Y281","21. Feb 2018","null","0.2 Years"
"1519893677-4222","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BAM","Boeing 777-3DZ(ER)","C42Y316","17. Mar 2011","null","7.0 Years"
"1519893680-4283","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-APG","Airbus A380-861","F8C48Y461","16. Dec 2016","null","1.7 Years"
"1519893680-4278","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-APB","Airbus A380-861","F8C48Y461","10. Nov 2014","null","4.3 Years"
"1519893683-4309","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-ACH","Airbus A330-202","C24Y248","12. Dec 2003","null","16.3 Years"
"1519893677-4207","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BFJ","Boeing 777-FDZ","Cargo","30. Jun 2016","null","1.7 Years"
"1519893680-4285","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-API","Airbus A380-861","F8C48Y461","18. Dec 2017","null","0.6 Years"
"1519893686-4386","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AHX","Airbus A320-232(WL)","C12Y120","23. Nov 2012","null","5.3 Years"
"1519893683-4316","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-AFG","Airbus A330-243F","Cargo","09. Dec 2014","null","3.3 Years"
"1519893680-4273","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-AMB","Airbus A350-941","C30W63Y246","04. Apr 2017","null","1.4 Years"
"1519893683-4344","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-ANE","Airbus A350-1041","","(On Order)","null",""
"1519893680-4290","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-BBB","Boeing 777-2DZ(LR)","C42Y217","23. Feb 2009","null","9.1 Years"
"1519893683-4307","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-ACF","Airbus A330-202","C24Y248","21. Dec 2004","null","13.3 Years"
"1519893674-4190","https://www.planespotters.net/airline/Qatar-Airways?p=5","A7-BCP","Boeing 787-8 Dreamliner","C22Y232","27. Oct 2014","null","3.5 Years"
"1519893683-4320","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-AFV","Airbus A330-243F","Cargo","19. Dec 2012","null","5.4 Years"
"1519893674-4178","https://www.planespotters.net/airline/Qatar-Airways?p=5","A7-BCD","Boeing 787-8 Dreamliner","C22Y232","14. Jun 2013","null","4.8 Years"
"1519893674-4182","https://www.planespotters.net/airline/Qatar-Airways?p=5","A7-BCH","Boeing 787-8 Dreamliner","C22Y232","14. Mar 2014","null","4.3 Years"
"1519893686-4377","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AHL","Airbus A320-232","C12Y132","29. Aug 2011","null","6.6 Years"
"1519893677-4240","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BEF","Boeing 777-3DZ(ER)","C42Y316","18. Nov 2015","null","2.4 Years"
"1519893677-4215","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BAF","Boeing 777-3DZ(ER)","C42Y316","29. Sep 2009","null","8.5 Years"
"1519893680-4292","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-BBD","Boeing 777-2DZ(LR)","C42Y217","07. Dec 2009","null","8.3 Years"
"1519893677-4230","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BAV","Boeing 777-3DZ(ER)","C24Y388","06. Mar 2014","null","4.1 Years"
"1519893680-4266","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-ALU","Airbus A350-941","","(On Order)","null",""
"1519893677-4221","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BAL","Boeing 777-3DZ(ER)","C42Y316","23. Sep 2010","null","7.5 Years"
"1519893680-4281","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-APE","Airbus A380-861","F8C48Y461","11. Jun 2015","null","3.1 Years"
"1519893680-4298","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-BFA","Boeing 777-FDZ","Cargo","14. May 2010","null","7.8 Years"
"1519893686-4359","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-ADC","Airbus A320-232","C12Y132","17. May 2002","null","15.9 Years"
"1519893686-4370","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AHD","Airbus A320-232","C12Y132","28. Sep 2010","null","7.5 Years"
"1519893674-4202","https://www.planespotters.net/airline/Qatar-Airways?p=5","A7-BDB","Boeing 787-8 Dreamliner","C22Y232","21. Apr 2016","null","2.0 Years"
"1519893680-4289","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-BBA","Boeing 777-2DZ(LR)","C42Y217","03. Feb 2009","null","9.1 Years"
"1519893686-4379","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AHP","Airbus A320-232(WL)","C12Y120","18. Oct 2011","null","6.4 Years"
"1519893683-4315","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-AFF","Airbus A330-243F","Cargo","24. Nov 2014","null","3.3 Years"
"1519893680-4271","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-ALZ","Airbus A350-941","","(On Order)","null",""
"1519893683-4345","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-ANF","Airbus A350-1041","","(On Order)","null",""
"1519893680-4265","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-ALT","Airbus A350-941","C36Y247","24. Nov 2017","null","0.4 Years"
"1519893677-4252","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BER","Boeing 777-3DZ(ER)","C42Y316","(On Order)","null","0.1 Years"
"1519893680-4297","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-BBI","Boeing 777-2DZ(LR)","C42Y217","30. Sep 2011","null","6.5 Years"
"1519893683-4333","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-AEM","Airbus A330-302","C30Y275","28. Jan 2008","null","10.2 Years"
"1519893677-4228","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BAT","Boeing 777-3DZ(ER)","C24Y388","06. Nov 2013","null","4.4 Years"
"1519893677-4246","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BEL","Boeing 777-3DZ(ER)","C42Y312","30. Sep 2017","null","0.6 Years"
"1519893686-4394","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-LAG","Airbus A320-214(WL)","","15. Sep 2015","null","2.5 Years"
"1519893686-4385","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AHW","Airbus A320-232(WL)","C12Y120","13. Jul 2012","null","5.7 Years"
"1519893683-4339","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-AGD","Airbus A340-642","C24Y348","28. Mar 2007","null","11.0 Years"
"1519893677-4245","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BEK","Boeing 777-3DZ(ER)","C42Y312","11. Sep 2017","null","0.7 Years"
"1519893683-4330","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-AEH","Airbus A330-302","C30Y275","18. Oct 2006","null","11.4 Years"
"1519893680-4255","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-ALJ","Airbus A350-941","C36Y247","01. Aug 2016","null","1.8 Years"
"1519893686-4381","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AHR","Airbus A320-232(WL)","C12Y120","19. Jan 2012","null","6.2 Years"
"1519893686-4380","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AHQ","Airbus A320-232(WL)","C12Y120","21. Dec 2011","null","6.3 Years"
"1519893677-4216","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BAG","Boeing 777-3DZ(ER)","C42Y316","20. Oct 2009","null","8.4 Years"
"1519893686-4389","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-LAB","Airbus A320-214(WL)","C12Y153","22. Apr 2015","null","3.1 Years"
"1519893686-4367","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AHA","Airbus A320-232","C12Y132","11. Dec 2009","null","8.3 Years"
"1519893680-4261","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-ALP","Airbus A350-941","C36Y247","23. May 2017","null","0.9 Years"
"1519893674-4189","https://www.planespotters.net/airline/Qatar-Airways?p=5","A7-BCO","Boeing 787-8 Dreamliner","C22Y232","28. Aug 2014","null","3.7 Years"
"1519893686-4383","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AHT","Airbus A320-232(WL)","C12Y120","10. Apr 2012","null","6.0 Years"
"1519893683-4351","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-ALF","Airbus A350-941","C36Y247","30. Oct 2015","null","2.5 Years"
"1519893683-4329","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-AEG","Airbus A330-302","C30Y275","13. Mar 2006","null","12.0 Years"
"1519893686-4382","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AHS","Airbus A320-232(WL)","C12Y120","20. Feb 2012","null","6.1 Years"
"1519893674-4177","https://www.planespotters.net/airline/Qatar-Airways?p=5","A7-BCC","Boeing 787-8 Dreamliner","C22Y232","20. Dec 2012","null","5.2 Years"
"1519893677-4212","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BAB","Boeing 777-3DZ(ER)","C42Y316","18. Dec 2007","null","10.2 Years"
"1519893686-4398","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-ADV","Airbus A321-231","C12Y165","19. Oct 2007","null","10.4 Years"
"1519893683-4326","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-AED","Airbus A330-302","C30Y275","29. Aug 2005","null","12.6 Years"
"1519893677-4247","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BEM","Boeing 777-3DZ(ER)","","13. Dec 2017","null","0.4 Years"
"1519893680-4269","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-ALX","Airbus A350-941","","(On Order)","null",""
"1519893677-4206","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BFI","Boeing 777-FDZ","Cargo","26. Apr 2016","null","1.9 Years"
"1519893683-4305","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-ACD","Airbus A330-202","C24Y248","31. Mar 2003","null","15.0 Years"
"1519893686-4397","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-ADT","Airbus A321-231","C12Y170","05. May 2004","null","14.0 Years"
"1519893674-4174","https://www.planespotters.net/airline/Qatar-Airways?p=5","A7-BEV","Boeing 777-3DZ(ER)","","(On Order)","null",""
"1519893677-4251","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BEQ","Boeing 777-3DZ(ER)","","(On Order)","null","0.2 Years"
"1519893680-4264","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-ALS","Airbus A350-941","C36Y247","10. Oct 2017","null","0.7 Years"
"1519893686-4402","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-ACA","Airbus A330-202","C24Y248","10. May 2002","null","15.9 Years"
"1519893677-4219","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BAJ","Boeing 777-3DZ(ER)","C42Y316","04. Mar 2010","null","8.0 Years"
"1519893686-4372","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AHF","Airbus A320-232","C12Y132","29. Nov 2010","null","7.3 Years"
"1519893683-4349","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-ALD","Airbus A350-941","C36Y247","11. Jun 2015","null","2.8 Years"
"1519893683-4352","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-ALG","Airbus A350-941","C36Y247","20. Nov 2015","null","2.4 Years"
"1519893683-4348","https://www.planespotters.net/airline/Qatar-Airways?p=2","A7-ALC","Airbus A350-941","C36Y247","07. May 2015","null","2.9 Years"
"1519893674-4184","https://www.planespotters.net/airline/Qatar-Airways?p=5","A7-BCJ","Boeing 787-8 Dreamliner","C22Y232","02. Apr 2014","null","4.1 Years"
"1519893680-4256","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-ALK","Airbus A350-941","C36Y247","22. Sep 2016","null","1.8 Years"
"1519893686-4369","https://www.planespotters.net/airline/Qatar-Airways?p=1","A7-AHC","Airbus A320-232","C12Y132","01. Feb 2010","null","8.2 Years"
"1519893677-4235","https://www.planespotters.net/airline/Qatar-Airways?p=4","A7-BEA","Boeing 777-3DZ(ER)","C24Y388","01. May 2013","null","4.9 Years"
"1519893680-4291","https://www.planespotters.net/airline/Qatar-Airways?p=3","A7-BBC","Boeing 777-2DZ(LR)","C42Y217","10. Nov 2009","null","8.4 Years"
