Airline,Airline_ID,Source_IATA,Source_ID,Dest_IATA,Dest_ID,Equipment,Aircraft
AA,24,ABE,4355,CLT,3876,CR9 CR7 CRJ,Other
AA,24,ABE,4355,PHL,3752,DH3,Other
AA,24,ABI,3718,DFW,3670,ERD ER4 CRJ,Other
AA,24,ABQ,4019,DFW,3670,M83 M80,Other
AA,24,ABQ,4019,LAX,3484,CR7 CRJ,Other
AA,24,ABQ,4019,ORD,3830,E75,Other
AA,24,ABQ,4019,PHX,3462,CRJ CR9,Other
AA,24,ABZ,532,LHR,507,321 320 319,A321
AA,24,ACC,248,LHR,507,744,747
AA,24,ACT,3700,DFW,3670,ER4 ERD,Other
AA,24,ADL,3341,BNE,3320,737,737
AA,24,ADL,3341,SYD,3361,737,737
AA,24,AEX,3852,DFW,3670,ER4 CRJ ERD,Other
AA,24,AGP,1230,LHR,507,320,A320
AA,24,AGS,3658,CLT,3876,DH8 CRJ,Other
AA,24,AGS,3658,DCA,3520,CRJ,Other
AA,24,AGU,1785,DFW,3670,ER4,Other
AA,24,AKL,2006,BNE,3320,737,737
AA,24,AKL,2006,PPT,4075,340,A340
AA,24,AKL,2006,SYD,3361,737,737
AA,24,ALB,3864,CLT,3876,319,A319
AA,24,ALB,3864,DCA,3520,E75 CRJ E70,Other
AA,24,ALB,3864,PHL,3752,DH3,Other
AA,24,ALO,5718,ORD,3830,ERD,Other
AA,24,AMA,3840,DFW,3670,ER4 CRJ ERD,Other
AA,24,AMM,2170,JFK,3797,340 330,A340
AA,24,AMM,2170,ORD,3830,340,A340
AA,24,AMM,2170,YUL,146,330,A330
AA,24,AMS,580,LHR,507,320 767 321 319,767
AA,24,AMS,580,PHL,3752,757,757
AA,24,ANC,3774,LAX,3484,737,737
AA,24,ANC,3774,PHX,3462,319 320,A319
AA,24,ANU,2874,CLT,3876,319,A319
AA,24,ANU,2874,JFK,3797,738,737
AA,24,ANU,2874,MIA,3576,738,737
AA,24,AQP,2802,LIM,2789,319,A319
AA,24,ARN,737,LHR,507,320 321 319,A320
AA,24,ART,3838,ORD,3830,ERD,Other
AA,24,ART,3838,PHL,3752,CRJ,Other
AA,24,ASP,3319,SYD,3361,737,737
AA,24,ASU,2699,MIA,3576,757,757
AA,24,ATH,3941,LHR,507,320 767,767
AA,24,ATH,3941,PHL,3752,332,A330
AA,24,ATL,3682,CLT,3876,319 320 CR9 321,A319
AA,24,ATL,3682,DFW,3670,M80 319 M83,Other
AA,24,ATL,3682,LHR,507,777,777
AA,24,ATL,3682,MIA,3576,738,737
AA,24,ATL,3682,ORD,3830,CR7 E75,Other
AA,24,ATL,3682,PHL,3752,E75 E90 319 CRJ E70,Other
