web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519894275-5255","https://www.planespotters.net/airline/Ryanair?p=5","EI-EPA","Boeing 737-8AS(WL)","Y189","29. Mar 2011","null","7.1 Years"
"1519894266-5108","https://www.planespotters.net/airline/Ryanair?p=8","EI-GDE","Boeing 737-8AS(WL)","Y189","06. Oct 2017","null","0.4 Years"
"1519894285-5466","https://www.planespotters.net/airline/Ryanair?p=1","EI-DAL","Boeing 737-8AS(WL)","Y189","22. Apr 2003","null","14.9 Years"
"1519894277-5299","https://www.planespotters.net/airline/Ryanair?p=4","EI-EGC","Boeing 737-8AS(WL)","Y189","20. Nov 2009","null","8.3 Years"
"1519894266-5130","https://www.planespotters.net/airline/Ryanair?p=8","EI-GJE","Boeing 737-8AS(WL)","Y189","(On Order)","null","0.0 Years"
"1519894282-5451","https://www.planespotters.net/airline/Ryanair?p=2","EI-DWO","Boeing 737-8AS(WL)","Y189","19. Nov 2007","null","10.3 Years"
"1519894272-5219","https://www.planespotters.net/airline/Ryanair?p=6","EI-FIW","Boeing 737-8AS(WL)","Y189","27. Oct 2015","null","2.4 Years"
"1519894282-5414","https://www.planespotters.net/airline/Ryanair?p=2","EI-DLW","Boeing 737-8AS(WL)","Y189","17. Oct 2006","null","11.4 Years"
"1519894277-5332","https://www.planespotters.net/airline/Ryanair?p=4","EI-EMI","Boeing 737-8AS(WL)","Y189","07. May 2010","null","7.9 Years"
"1519894266-5096","https://www.planespotters.net/airline/Ryanair?p=8","EI-FZR","Boeing 737-8AS(WL)","Y189","10. May 2017","null","0.8 Years"
"1519894270-5162","https://www.planespotters.net/airline/Ryanair?p=7","EI-FTC","Boeing 737-8AS(WL)","Y189","01. Nov 2016","null","1.4 Years"
"1519894277-5305","https://www.planespotters.net/airline/Ryanair?p=4","EI-EKE","Boeing 737-8AS(WL)","Y189","21. Jan 2010","null","8.2 Years"
"1519894282-5444","https://www.planespotters.net/airline/Ryanair?p=2","EI-DWG","Boeing 737-8AS(WL)","Y189","03. Oct 2007","null","10.5 Years"
"1519894285-5483","https://www.planespotters.net/airline/Ryanair?p=1","EI-DCP","Boeing 737-8AS(WL)","Y189","01. Nov 2004","null","13.4 Years"
"1519894270-5159","https://www.planespotters.net/airline/Ryanair?p=7","EI-FRZ","Boeing 737-8AS(WL)","Y189","28. Sep 2016","null","1.5 Years"
"1519894277-5347","https://www.planespotters.net/airline/Ryanair?p=4","EI-ENH","Boeing 737-8AS(WL)","Y189","29. Oct 2010","null","7.4 Years"
"1519894280-5383","https://www.planespotters.net/airline/Ryanair?p=3","EI-EBP","Boeing 737-8AS(WL)","Y189","24. Mar 2009","null","9.0 Years"
"1519894272-5227","https://www.planespotters.net/airline/Ryanair?p=6","EI-FOF","Boeing 737-8AS(WL)","Y189","27. Jan 2016","null","2.1 Years"
"1519894285-5472","https://www.planespotters.net/airline/Ryanair?p=1","EI-DAS","Boeing 737-8AS(WL)","Y189","11. Sep 2003","null","14.5 Years"
"1519894277-5298","https://www.planespotters.net/airline/Ryanair?p=4","EI-EGB","Boeing 737-8AS(WL)","Y189","19. Nov 2009","null","8.3 Years"
"1519894270-5132","https://www.planespotters.net/airline/Ryanair?p=7","EI-FOT","Boeing 737-8AS(WL)","Y189","11. Mar 2016","null","2.0 Years"
"1519894277-5321","https://www.planespotters.net/airline/Ryanair?p=4","EI-EKW","Boeing 737-8AS(WL)","Y189","26. Mar 2010","null","8.0 Years"
"1519894275-5293","https://www.planespotters.net/airline/Ryanair?p=5","EI-EVS","Boeing 737-8AS(WL)","Y189","17. Sep 2012","null","5.5 Years"
"1519894266-5098","https://www.planespotters.net/airline/Ryanair?p=8","EI-FZT","Boeing 737-8AS(WL)","Y189","16. May 2017","null","0.8 Years"
"1519894275-5274","https://www.planespotters.net/airline/Ryanair?p=5","EI-ESY","Boeing 737-8AS(WL)","Y189","02. Dec 2011","null","6.3 Years"
