web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519892993-3880","https://www.planespotters.net/airline/United-Airlines?p=1","N846UA","Airbus A319-131","C8Y120","28. Nov 2001","4046","16.4 Years"
"1519892968-3354","https://www.planespotters.net/airline/United-Airlines?p=11","N590UA","Boeing 757-222(WL)","C28Y114","31. Dec 1997","5990","20.2 Years"
"1519892960-3179","https://www.planespotters.net/airline/United-Airlines?p=14","N784UA","Boeing 777-222(ER)","F8C40Y221","29. Apr 1997","2884","20.9 Years"
"1519892960-3162","https://www.planespotters.net/airline/United-Airlines?p=14","N776UA","Boeing 777-222","C28Y336","11. Apr 1996","2476","22.0 Years"
"1519892983-3631","https://www.planespotters.net/airline/United-Airlines?p=5","N27733","Boeing 737-724(WL)","C12Y114","01. Oct 2010","0733","18.5 Years"
"1519892991-3819","https://www.planespotters.net/airline/United-Airlines?p=2","N408UA","Airbus A320-232","C12Y138","06. Jan 2009
(14. Mar 1994)","4108","24.3 Years"
"1519892978-3551","https://www.planespotters.net/airline/United-Airlines?p=7","N77536","Boeing 737-824(WL)","C16Y150","01. Sep 2016","0536","1.5 Years"
"1519892973-3419","https://www.planespotters.net/airline/United-Airlines?p=9","N53441","Boeing 737-924(ER)(WL)","C20Y159","01. Oct 2010","0441","8.5 Years"
"1519892973-3438","https://www.planespotters.net/airline/United-Airlines?p=9","N64809","Boeing 737-924(ER)(WL)","C20Y159","10. Dec 2013","0809","4.3 Years"
"1519892988-3780","https://www.planespotters.net/airline/United-Airlines?p=3","N474UA","Airbus A320-232","C12Y138","06. Jan 2009
(22. May 2001)","4274","16.9 Years"
"1519892978-3535","https://www.planespotters.net/airline/United-Airlines?p=7","N76523","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0523","8.0 Years"
"1519892973-3456","https://www.planespotters.net/airline/United-Airlines?p=9","N67846","Boeing 737-924(ER)(WL)","C20Y159","25. Feb 2015","0846","3.0 Years"
"1519892988-3753","https://www.planespotters.net/airline/United-Airlines?p=3","N446UA","Airbus A320-232","C12Y138","06. Jan 2009
(18. Jun 1998)","4246","19.8 Years"
"1519892968-3340","https://www.planespotters.net/airline/United-Airlines?p=11","N41140","Boeing 757-224(WL)","C16Y153","01. Oct 2010","0140","18.1 Years"
"1519892983-3664","https://www.planespotters.net/airline/United-Airlines?p=5","N18220","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0220","19.4 Years"
"1519892993-3881","https://www.planespotters.net/airline/United-Airlines?p=1","N847UA","Airbus A319-131","C8Y120","28. Nov 2001","4047","16.3 Years"
"1519892963-3233","https://www.planespotters.net/airline/United-Airlines?p=13","N216UA","Boeing 777-222(ER)","F8C40Y221","21. Jul 2000","2816","17.7 Years"
"1519892981-3625","https://www.planespotters.net/airline/United-Airlines?p=6","N76265","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0265","16.6 Years"
"1519892973-3467","https://www.planespotters.net/airline/United-Airlines?p=9","N68823","Boeing 737-924(ER)(WL)","C20Y159","01. May 2014","0823","3.9 Years"
"1519892978-3536","https://www.planespotters.net/airline/United-Airlines?p=7","N76526","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0526","7.8 Years"
"1519892968-3322","https://www.planespotters.net/airline/United-Airlines?p=11","N17128","Boeing 757-224(WL)","C16Y153","01. Oct 2010","0128","20.0 Years"
"1519892988-3773","https://www.planespotters.net/airline/United-Airlines?p=3","N467UA","Airbus A320-232","C12Y138","06. Jan 2009
(14. Dec 2000)","4267","17.3 Years"
"1519892976-3506","https://www.planespotters.net/airline/United-Airlines?p=8","N38451","Boeing 737-924(ER)(WL)","C20Y159","16. Apr 2012","0451","5.9 Years"
"1519892966-3309","https://www.planespotters.net/airline/United-Airlines?p=12","N675UA","Boeing 767-322(ER)(WL)","C30Y184","01. Aug 2000","6675","17.7 Years"
"1519892993-3877","https://www.planespotters.net/airline/United-Airlines?p=1","N843UA","Airbus A319-131","C8Y120","31. Aug 2001","4043","16.6 Years"
"1519892976-3473","https://www.planespotters.net/airline/United-Airlines?p=8","N31412","Boeing 737-924(WL)","C20Y159","01. Oct 2010","0412","15.9 Years"
"1519892973-3443","https://www.planespotters.net/airline/United-Airlines?p=9","N66814","Boeing 737-924(ER)(WL)","C20Y159","13. Feb 2014","0814","4.1 Years"
"1519892963-3235","https://www.planespotters.net/airline/United-Airlines?p=13","N218UA","Boeing 777-222(ER)","F8C40Y221","10. Jan 2001","2018","17.2 Years"
"1519892978-3527","https://www.planespotters.net/airline/United-Airlines?p=7","N76505","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0505","11.5 Years"
"1519892963-3216","https://www.planespotters.net/airline/United-Airlines?p=13","N69063","Boeing 767-424(ER)","C39Y203","01. Oct 2010","0063","16.0 Years"
"1519892973-3423","https://www.planespotters.net/airline/United-Airlines?p=9","N61882","Boeing 737-924(ER)(WL)","C20Y159","28. May 2015","0882","2.8 Years"
"1519892991-3822","https://www.planespotters.net/airline/United-Airlines?p=2","N411UA","Airbus A320-232","C12Y138","13. Apr 1994","4711","24.1 Years"
"1519892985-3701","https://www.planespotters.net/airline/United-Airlines?p=4","N498UA","Airbus A320-232","C12Y138","06. Jan 2009
(17. Oct 2002)","4298","15.5 Years"
"1519892966-3307","https://www.planespotters.net/airline/United-Airlines?p=12","N673UA","Boeing 767-322(ER)(WL)","C30Y184","11. Jan 2000","6673","18.2 Years"
"1519892991-3832","https://www.planespotters.net/airline/United-Airlines?p=2","N421UA","Airbus A320-232","C12Y138","09. Dec 1994","4621","23.4 Years"
"1519892976-3490","https://www.planespotters.net/airline/United-Airlines?p=8","N37434","Boeing 737-924(ER)(WL)","C20Y159","01. Oct 2010","0434","8.9 Years"
"1519892963-3236","https://www.planespotters.net/airline/United-Airlines?p=13","N219UA","Boeing 777-222(ER)","F8C40Y221","23. Jan 2001","2019","17.2 Years"
"1519892993-3876","https://www.planespotters.net/airline/United-Airlines?p=1","N842UA","Airbus A319-131","C8Y120","04. Sep 2001","4042","16.6 Years"
"1519892973-3422","https://www.planespotters.net/airline/United-Airlines?p=9","N61881","Boeing 737-924(ER)(WL)","C20Y159","14. May 2015","0881","2.8 Years"
"1519892991-3821","https://www.planespotters.net/airline/United-Airlines?p=2","N410UA","Airbus A320-232","C12Y138","01. Apr 1994","4710","24.1 Years"
"1519892968-3360","https://www.planespotters.net/airline/United-Airlines?p=11","N56859","Boeing 757-324(WL)","C24Y189","01. Oct 2010","0859","13.9 Years"
"1519892991-3787","https://www.planespotters.net/airline/United-Airlines?p=2","N890UA","Airbus A319-132","C8Y120","01. Jul 2016","4890","11.7 Years"
"1519892983-3637","https://www.planespotters.net/airline/United-Airlines?p=5","N39728","Boeing 737-724(WL)","C12Y114","01. Oct 2010","0728","18.7 Years"
"1519892976-3482","https://www.planespotters.net/airline/United-Airlines?p=8","N36476","Boeing 737-924(ER)(WL)","C20Y159","25. Jun 2013","0476","4.7 Years"
"1519892973-3452","https://www.planespotters.net/airline/United-Airlines?p=9","N67812","Boeing 737-924(ER)(WL)","C20Y159","24. Jan 2014","0812","4.1 Years"
"1519892978-3552","https://www.planespotters.net/airline/United-Airlines?p=7","N77537","Boeing 737-824(WL)","C16Y150","23. Sep 2016","0537","1.5 Years"
"1519892968-3326","https://www.planespotters.net/airline/United-Airlines?p=11","N18119","Boeing 757-224(WL)","C16Y153","01. Oct 2010","0119","20.8 Years"
"1519892968-3324","https://www.planespotters.net/airline/United-Airlines?p=11","N17139","Boeing 757-224(WL)","C16Y153","01. Oct 2010","0139","18.1 Years"
"1519892983-3658","https://www.planespotters.net/airline/United-Airlines?p=5","N16217","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0217","19.6 Years"
"1519892963-3230","https://www.planespotters.net/airline/United-Airlines?p=13","N213UA","Boeing 777-222","C28Y336","15. Aug 2000","2513","17.6 Years"
"1519892960-3159","https://www.planespotters.net/airline/United-Airlines?p=14","N773UA","Boeing 777-222","C28Y336","31. Jan 1996","2473","23.4 Years"
