aircraft_id,aircraft_manufacturer,model,msn,delivery_date,first_flight_date,build_year,current_status
16944,Airbus,A300,1,10-28-72,10-28-72,1972,Scrapped
27163,Airbus,A300,2,02-05-73,02-05-73,1973,Scrapped
10311,Airbus,A300,3,06-28-73,06-28-73,1973,Written Off
28235,Airbus,A300,4,11-20-73,11-20-73,1973,Written Off
7100,Airbus,A300,5,05-10-74,04-15-74,1974,Scrapped
22590,Airbus,A300,6,06-28-74,06-23-74,1974,Scrapped
15138,Airbus,A300,7,08-10-74,08-06-74,1974,Scrapped
21063,Airbus,A300,8,10-17-74,10-02-74,1974,Scrapped
377,Airbus,A300,9,12-26-74,12-26-74,1974,Scrapped
28294,Airbus,A300,10,03-21-75,03-07-75,1975,Scrapped
6304,Airbus,A300,11,05-01-75,04-23-75,1975,Scrapped
7052,Airbus,A300,12,05-23-75,05-20-75,1975,Scrapped
825,Airbus,A300,13,06-11-75,05-31-75,1975,Scrapped
1669,Airbus,A300,14,08-01-75,07-23-75,1975,Scrapped
26053,Airbus,A300,15,10-15-76,06-18-75,1975,Scrapped
25958,Airbus,A300,16,09-01-75,08-22-75,1975,Stored
21056,Airbus,A300,17,10-16-75,10-07-75,1975,Scrapped
2675,Airbus,A300,18,10-31-75,10-23-75,1975,Scrapped
16846,Airbus,A300,19,11-16-75,11-11-75,1975,Stored
30975,Airbus,A300,20,04-01-76,12-19-75,1975,Scrapped
28236,Airbus,A300,21,02-02-76,11-29-75,1975,Scrapped
26052,Airbus,A300,22,03-19-76,01-23-76,1976,Written Off
20823,Airbus,A300,23,04-14-76,02-12-76,1976,Stored
20032,Airbus,A300,24,04-23-76,03-03-76,1976,Stored
17214,Airbus,A300,25,05-02-77,03-23-76,1976,Written Off
6618,Airbus,A300,26,04-25-76,03-11-76,1976,Scrapped
21219,Airbus,A300,27,09-28-78,05-03-76,1976,Scrapped
6625,Airbus,A300,28,07-08-76,04-16-76,1976,Stored
6627,Airbus,A300,29,12-10-77,05-08-76,1976,Scrapped
23708,Airbus,A300,30,02-28-77,06-04-76,1976,Scrapped
5279,Airbus,A300,31,08-09-78,07-08-76,1976,Scrapped
32157,Airbus,A300,32,11-15-76,07-30-76,1976,Scrapped
13541,Airbus,A300,33,10-25-77,09-21-76,1976,Scrapped
13892,Airbus,A300,34,10-31-76,08-30-76,1976,Written Off
20971,Airbus,A300,35,12-14-77,02-02-77,1977,Stored
25613,Airbus,A300,36,11-29-76,10-05-76,1976,Stored
28959,Airbus,A300,37,12-22-76,11-02-76,1976,Scrapped
6992,Airbus,A300,38,12-29-76,11-16-76,1976,Stored
21077,Airbus,A300,39,01-21-77,12-01-76,1976,Scrapped
4572,Airbus,A300,40,02-15-77,12-13-76,1976,Scrapped
32780,Airbus,A300,41,12-03-77,01-11-77,1977,Stored
11556,Airbus,A300,42,11-19-77,02-24-77,1977,Scrapped
17176,Airbus,A300,43,10-29-77,05-13-77,1977,Scrapped
20813,Airbus,A300,44,08-24-77,07-13-77,1977,Stored
11583,Airbus,A300,45,03-24-77,02-18-77,1977,Scrapped
6305,Airbus,A300,46,02-05-79,03-28-77,1977,Scrapped
29646,Airbus,A300,47,10-20-77,04-22-77,1977,Stored
29637,Airbus,A300,48,04-16-77,03-14-77,1977,Scrapped
24687,Airbus,A300,49,03-07-78,05-10-77,1977,Scrapped
21215,Airbus,A300,50,06-21-78,06-16-77,1977,Scrapped
21223,Airbus,A300,51,03-16-78,02-03-78,1978,Scrapped
30976,Airbus,A300,52,01-07-78,11-17-77,1977,Scrapped
32005,Airbus,A300,53,09-29-77,08-16-77,1977,Scrapped
18011,Airbus,A300,54,02-16-78,01-05-78,1978,Stored
1945,Airbus,A300,55,04-14-78,03-01-78,1978,Stored
27648,Airbus,A300,56,02-15-79,12-19-78,1978,Scrapped
16845,Airbus,A300,57,03-23-78,01-23-78,1978,Scrapped
4943,Airbus,A300,58,03-28-80,02-19-80,1980,Scrapped
21220,Airbus,A300,59,05-11-78,03-29-78,1978,Stored
8036,Airbus,A300,60,06-08-78,03-19-78,1978,Stored
19009,Airbus,A300,61,03-17-80,12-21-79,1979,Written Off
8461,Airbus,A300,62,10-13-78,08-18-78,1978,Scrapped
28376,Airbus,A300,63,11-25-79,10-10-79,1979,Written Off
19010,Airbus,A300,64,04-03-79,02-27-79,1979,Scrapped
6502,Airbus,A300,65,11-15-78,09-13-78,1978,Scrapped
14143,Airbus,A300,66,12-01-78,10-06-78,1978,Scrapped
14127,Airbus,A300,67,12-11-78,10-20-78,1978,Stored
29639,Airbus,A300,68,10-12-79,08-06-79,1979,Stored
10027,Airbus,A300,69,12-20-79,10-23-79,1979,Scrapped
34852,Airbus,A300,70,04-27-79,02-22-79,1979,Written Off
21057,Airbus,A300,71,03-06-79,12-17-78,1978,Stored
27156,Airbus,A300,72,03-16-79,01-22-79,1979,Written Off
18720,Airbus,A300,73,10-30-79,07-12-79,1979,Written Off
40251,Airbus,A300,74,05-15-79,03-27-79,1979,Written Off
6531,Airbus,A300,75,03-23-79,01-31-79,1979,Stored
20031,Airbus,A300,76,03-30-79,02-19-79,1979,Scrapped
21064,Airbus,A300,77,04-19-79,03-08-79,1979,Scrapped
10318,Airbus,A300,78,05-31-79,04-06-79,1979,Written Off
21225,Airbus,A300,79,04-28-79,04-28-79,1979,Stored
8031,Airbus,A300,80,04-16-80,02-13-80,1980,Active
4177,Airbus,A300,81,06-29-79,05-09-79,1979,Scrapped
28082,Airbus,A300,82,10-02-80,08-18-80,1980,Stored
24753,Airbus,A300,83,01-31-80,05-16-79,1979,Stored
17445,Airbus,A300,84,08-09-79,06-08-79,1979,Stored
21026,Airbus,A300,85,09-06-79,07-03-79,1979,Stored
28007,Airbus,A300,86,11-14-79,07-26-79,1979,Stored
3637,Airbus,A300,87,11-15-79,08-22-79,1979,Scrapped
5311,Airbus,A300,88,10-25-79,09-03-79,1979,Scrapped
19594,Airbus,A300,89,12-15-80,10-28-80,1980,Scrapped
16844,Airbus,A300,90,12-18-80,11-05-80,1980,Stored
4575,Airbus,A300,91,11-30-79,09-26-79,1979,Stored
6503,Airbus,A300,92,12-10-79,10-17-79,1979,Scrapped
22881,Airbus,A300,93,12-28-79,10-18-79,1979,Written Off
21244,Airbus,A300,94,03-10-80,12-06-79,1979,Stored
21043,Airbus,A300,95,01-18-80,11-20-79,1979,Scrapped
21248,Airbus,A300,96,03-03-80,11-30-79,1979,Scrapped
15081,Airbus,A300,97,02-28-80,01-17-80,1980,Scrapped
24712,Airbus,A300,98,03-12-80,01-25-80,1980,Scrapped
19889,Airbus,A300,99,04-03-80,02-22-80,1980,Scrapped
5883,Airbus,A300,100,03-06-80,01-21-80,1980,Written Off
204,Airbus,A300,101,04-28-80,01-30-80,1980,Written Off
13345,Airbus,A300,102,03-20-80,02-08-80,1980,Scrapped
19498,Airbus,A300,103,04-21-80,03-06-80,1980,Scrapped
5273,Airbus,A300,104,04-08-80,02-28-80,1980,Written Off
14142,Airbus,A300,105,04-30-80,03-14-80,1980,Scrapped
29297,Airbus,A300,106,05-29-80,03-21-80,1980,Stored
18053,Airbus,A300,107,06-20-80,03-31-80,1980,Scrapped
4242,Airbus,A300,108,06-10-80,04-11-80,1980,Stored
20401,Airbus,A300,109,06-20-80,04-23-80,1980,Scrapped
17446,Airbus,A300,110,06-26-80,05-06-80,1980,Stored
7099,Airbus,A300,111,07-18-80,05-19-80,1980,Written Off
27809,Airbus,A300,112,11-25-80,09-24-80,1980,Scrapped
27890,Airbus,A300,113,08-07-80,06-10-80,1980,Stored
17378,Airbus,A300,114,08-27-80,06-16-80,1980,Written Off
21262,Airbus,A300,115,09-19-80,07-03-80,1980,Written Off
22816,Airbus,A300,116,09-30-80,07-10-80,1980,Scrapped
21035,Airbus,A300,117,12-20-80,08-19-80,1980,Scrapped
32148,Airbus,A300,118,10-13-80,08-26-80,1980,Stored
6504,Airbus,A300,119,10-22-80,09-04-80,1980,Scrapped
27056,Airbus,A300,120,12-01-80,09-15-80,1980,Stored
32367,Airbus,A300,121,02-24-81,11-24-80,1980,Written Off
3243,Airbus,A300,122,12-12-80,10-07-80,1980,Written Off
28095,Airbus,A300,123,12-02-80,10-10-80,1980,Stored
4901,Airbus,A300,124,12-10-80,10-22-80,1980,Stored
7101,Airbus,A300,125,04-10-81,10-31-80,1980,Stored
25327,Airbus,A300,126,03-20-81,01-29-81,1981,Active
32165,Airbus,A300,127,01-07-81,11-14-80,1980,Stored
10317,Airbus,A300,128,03-12-81,12-11-80,1980,Stored
28098,Airbus,A300,129,02-05-81,12-05-80,1980,Written Off
18120,Airbus,A300,130,02-27-81,01-13-81,1981,Scrapped
19497,Airbus,A300,131,02-17-81,12-30-80,1980,Stored
10313,Airbus,A300,132,02-19-81,01-08-81,1981,Scrapped
21235,Airbus,A300,133,03-20-81,12-10-81,1981,Stored
32624,Airbus,A300,134,06-29-81,05-06-81,1981,Written Off
14270,Airbus,A300,135,04-03-81,02-25-81,1981,Stored
10890,Airbus,A300,136,04-14-81,03-07-81,1981,Stored
29148,Airbus,A300,137,05-07-81,02-20-81,1981,Stored
17963,Airbus,A300,138,04-23-81,03-03-81,1981,Scrapped
21029,Airbus,A300,139,04-28-81,03-11-81,1981,Active
9374,Airbus,A300,140,05-13-81,03-24-81,1981,Scrapped
21041,Airbus,A300,141,05-15-81,03-31-81,1981,Active
