model,first flight,seats,Fuel burn,Fuel per seat
ATR 42-500,1995,48,1.26 kg/km (4.5 lb/mi),3.15 L/100 km (75 mpg‑US)[26]
ATR 72-500,1997,70,1.42 kg/km (5.0 lb/mi),2.53 L/100 km (93 mpg‑US)[26]
Beechcraft 1900D (226 nm),1982,19,1.00 kg/km (3.56 lb/mi),6.57 L/100 km (35.8 mpg‑US)[27]
Bombardier Dash 8 Q400,1998,78,2.16 kg/km (7.7 lb/mi),3.46 L/100 km (68.0 mpg‑US)[28]
Dornier 228,1981,19,0.94 kg/km (3.3 lb/mi),6.22 L/100 km (37.8 mpg‑US)[29]
Dornier 328,1991,30,1.10 kg/km (3.91 lb/mi),4.57 L/100 km (51.5 mpg‑US)[30]
Embraer Brasilia,1983,30,0.92 kg/km (3.3 lb/mi),3.82 L/100 km (61.6 mpg‑US)[31]
Pilatus PC-12 (500 nm),1991,9,0.41 kg/km (1.5 lb/mi),5.66 L/100 km (41.6 mpg‑US)[32]
Saab 340,1983,32,1.1 kg/km (3.9 lb/mi),4.29 L/100 km (54.8 mpg‑US)[33]
Saab 2000,1992,50,1.75 kg/km (6.2 lb/mi),4.39 L/100 km (53.6 mpg‑US)[34]
Xian MA700,2019,68-86,1.69 kg/km (6.0 lb/mi),3.1–2.45 L/100 km (76–96 mpg‑US)[35]
